patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
stairsdown;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
279.0;217.4;;;;;;;;;;;;;;;;;;;;17;0.1
279.0;217.4;;;;;;;;;;;;;;;;;13.149663;0.8545183;0.3624073;;127.7
279.0;217.4;;;;;;;;;;;;;;0.8644063;-0.19660024;-0.061159093;;;;;127.7
279.0;217.4;;;;;;;;;;;;;;;;;-5.8519244;-18.051699;-8.136998;;127.7
279.0;217.4;;;;;;;;;;;;;;0.8916288;-0.19696645;-0.06781213;;;;;127.7
279.0;217.4;;;;;;;;;;;;;;;;;-66.72491;-84.9292;-61.208683;;137.3
279.0;217.4;;;;;;;;;;;;;;0.8885769;-0.18182927;-0.06445509;;;;;137.3
279.0;217.4;;;;;;;;;;;;;;;;;-122.825554;-124.988556;-119.75463;;137.3
279.0;217.4;;;;;;;;;;;;;;0.8932157;-0.16730247;-0.059938353;;;;;137.3
340.0;218.2;;;;;;;;;;;;;;;;;-68.63994;-124.91989;-75.46083;;147.0
340.0;218.2;;;;;;;;;;;;;;0.8960845;-0.14288767;-0.047242653;;;;;147.0
340.0;218.2;;;;;;;;;;;;;;;;;-16.685995;-124.988556;-23.945585;;147.0
340.0;218.2;;;;;;;;;;;;;;0.90395826;-0.12671286;-0.03851436;;;;;147.0
340.0;218.2;;;;;;;;;;;;;;;;;-24.735252;-101.88604;-13.721885;;156.7
340.0;218.2;;;;;;;;;;;;;;0.9152501;-0.10425123;-0.033448286;;;;;156.7
340.0;218.2;;;;;;;;;;;;;;;;;-31.155582;-24.056215;12.211219;;156.7
340.0;218.2;;;;;;;;;;;;;;0.92336804;-0.08185064;-0.028748436;;;;;156.7
340.0;218.2;;;;;;;;;;;;;;;;;-28.832361;-17.288734;14.801477;;166.3
340.0;218.2;;;;;;;;;;;;;;0.9367962;-0.056642354;-0.015442366;;;;;166.3
340.0;218.2;;;;;;;;;;;;;;;;;-25.894955;-16.525774;15.301217;;166.3
340.0;218.2;;;;;;;;;;;;;;0.9450972;-0.031373028;9.155553E-4;;;;;166.3
340.0;278.0;;;;;;;;;;;;;;;;;-23.018585;-15.167699;16.07181;;176.0
340.0;278.0;;;;;;;;;;;;;;0.95468;-0.006836146;0.014343699;;;;;176.0
340.0;278.0;;;;;;;;;;;;;;;;;-20.004883;-13.775291;16.17481;;176.0
340.0;278.0;;;;;;;;;;;;;;0.96859646;0.012512589;0.019348735;;;;;176.0
340.0;278.0;;;;;;;;;;;;;;;;;-17.155216;-12.245552;16.319773;;185.6
340.0;278.0;;;;;;;;;;;;;;0.97848445;0.031861324;0.009765923;;;;;185.6
340.0;278.0;;;;;;;;;;;;;;;;;-14.515367;-9.647664;16.113773;;185.6
340.0;278.0;;;;;;;;;;;;;;0.9816584;0.04937895;0.018799402;;;;;185.6
340.0;278.0;;;;;;;;;;;;;;;;;-11.9556265;-9.464553;15.46144;;195.1
340.0;278.0;;;;;;;;;;;;;;1.0157781;0.051515244;-0.0014038514;;;;;195.1
340.0;278.0;;;;;;;;;;;;;;;;;-10.494553;-9.548479;14.946441;;195.1
340.0;278.0;;;;;;;;;;;;;;1.0308542;0.05328532;-0.022827845;;;;;195.1
403.0;278.8;;;;;;;;;;;;;;;;;-10.963775;-10.887479;14.591662;;204.7
403.0;278.8;;;;;;;;;;;;;;1.050325;0.052369762;-0.037354656;;;;;204.7
403.0;278.8;;;;;;;;;;;;;;;;;-13.199256;-11.818293;13.9317;;204.7
403.0;278.8;;;;;;;;;;;;;;1.0726646;0.048402358;-0.05346843;;;;;204.7
403.0;278.8;;;;;;;;;;;;;;;;;-16.445662;-11.230811;13.401441;;214.3
403.0;278.8;;;;;;;;;;;;;;1.0827967;0.042725913;-0.04565569;;;;;214.3
403.0;278.8;;;;;;;;;;;;;;;;;-20.790735;-11.093478;12.947477;;214.3
403.0;278.8;;;;;;;;;;;;;;1.0887173;0.04712058;-0.012451552;;;;;214.3
403.0;278.8;;;;;;;;;;;;;;;;;-24.365215;-11.268959;12.211219;;224.0
403.0;278.8;;;;;;;;;;;;;;1.1001313;0.04321421;0.015930662;;;;;224.0
403.0;278.8;;;;;;;;;;;;;;;;;-24.922176;-10.3267;11.425366;;224.0
403.0;278.8;;;;;;;;;;;;;;1.1068453;0.03991821;0.010376293;;;;;224.0
403.0;338.3;;;;;;;;;;;;;;;;;-21.931364;-8.350628;10.3228855;;233.6
403.0;338.3;;;;;;;;;;;;;;1.0906094;0.040650655;-0.012146367;;;;;233.6
403.0;338.3;;;;;;;;;;;;;;;;;-17.460402;-7.8585167;9.006775;;233.6
403.0;338.3;;;;;;;;;;;;;;1.0643024;0.04870754;-0.053163245;;;;;233.6
403.0;338.3;;;;;;;;;;;;;;;;;-14.515367;-8.7397375;8.312479;;243.3
403.0;338.3;;;;;;;;;;;;;;1.050325;0.059450056;-0.11206397;;;;;243.3
403.0;338.3;;;;;;;;;;;;;;;;;-14.000366;-9.475998;8.239998;;243.3
403.0;338.3;;;;;;;;;;;;;;1.0364085;0.07391583;-0.15485092;;;;;243.3
403.0;338.3;;;;;;;;;;;;;;;;;-16.022219;-9.8155155;8.316295;;253.0
403.0;338.3;;;;;;;;;;;;;;1.0209051;0.076906644;-0.1820124;;;;;253.0
403.0;338.3;;;;;;;;;;;;;;;;;-18.910032;-10.494553;8.247627;;253.0
403.0;338.3;;;;;;;;;;;;;;1.0071108;0.07879879;-0.19672231;;;;;253.0
463.0;339.1;;;;;;;;;;;;;;;;;-21.629993;-11.165959;7.8089237;;262.6
463.0;339.1;;;;;;;;;;;;;;0.99050874;0.08191168;-0.1988586;;;;;262.6
463.0;339.1;;;;;;;;;;;;;;;;;-24.197363;-11.661885;6.8895535;;262.6
463.0;339.1;;;;;;;;;;;;;;0.97933894;0.08026368;-0.19678335;;;;;262.6
463.0;339.1;;;;;;;;;;;;;;;;;-27.15766;-11.276589;5.84048;;272.3
463.0;339.1;;;;;;;;;;;;;;0.9688406;0.08398694;-0.18634602;;;;;272.3
463.0;339.1;;;;;;;;;;;;;;;;;-30.552843;-9.723961;4.6845913;;272.3
463.0;339.1;;;;;;;;;;;;;;0.9651784;0.098941006;-0.16962187;;;;;272.3
463.0;339.1;;;;;;;;;;;;;;;;;-33.783993;-7.335887;3.5515916;;282.0
463.0;339.1;;;;;;;;;;;;;;0.9673757;0.11682486;-0.15607166;;;;;282.0
463.0;339.1;;;;;;;;;;;;;;;;;-36.412395;-4.627369;2.727592;;282.0
463.0;339.1;;;;;;;;;;;;;;0.9785455;0.13110752;-0.14111759;;;;;282.0
463.0;398.3;;;;;;;;;;;;;;;;;-38.346508;-1.6403699;2.193518;;291.6
463.0;398.3;;;;;;;;;;;;;;0.99179053;0.13605152;-0.130253;;;;;291.6
463.0;398.3;;;;;;;;;;;;;;;;;-39.67406;1.1749626;1.9837031;;291.6
463.0;398.3;;;;;;;;;;;;;;1.0038759;0.14300974;-0.110721156;;;;;291.6
463.0;398.3;;;;;;;;;;;;;;;;;-40.10895;2.803888;2.2431104;;301.3
463.0;398.3;;;;;;;;;;;;;;1.0144963;0.13037507;-0.0971099;;;;;301.3
463.0;398.3;;;;;;;;;;;;;;;;;-39.273506;3.154851;2.521592;;301.3
463.0;398.3;;;;;;;;;;;;;;1.0253608;0.112125;-0.09088412;;;;;301.3
463.0;398.3;;;;;;;;;;;;;;;;;-37.980286;2.750481;2.9755547;;310.9
463.0;398.3;;;;;;;;;;;;;;1.0260323;0.094485305;-0.09375286;;;;;310.9
463.0;398.3;;;;;;;;;;;;;;;;;-37.47673;1.4877774;3.6507769;;310.9
463.0;398.3;;;;;;;;;;;;;;1.0311594;0.06939909;-0.09955138;;;;;310.9
522.0;399.1;;;;;;;;;;;;;;;;;-37.961212;0.67903686;4.505295;;320.5
522.0;399.1;;;;;;;;;;;;;;1.0285958;0.046815395;-0.09363079;;;;;320.5
522.0;399.1;;;;;;;;;;;;;;;;;-39.426098;1.1101108;5.664998;;320.5
522.0;399.1;;;;;;;;;;;;;;1.0171819;0.023926511;-0.0679342;;;;;320.5
522.0;399.1;;;;;;;;;;;;;;;;;-39.979248;1.7166661;6.9086275;;330.0
522.0;399.1;;;;;;;;;;;;;;1.0099186;-0.00286874;-0.04242073;;;;;330.0
522.0;399.1;;;;;;;;;;;;;;;;;-37.591175;2.3842587;8.011109;;330.0
522.0;399.1;;;;;;;;;;;;;;1.0020448;-0.024231697;-0.035523545;;;;;330.0
522.0;399.1;;;;;;;;;;;;;;;;;-32.513657;3.1586657;9.170813;;339.7
522.0;399.1;;;;;;;;;;;;;;0.9983825;-0.041322064;-0.05206458;;;;;339.7
522.0;399.1;;;;;;;;;;;;;;;;;-27.279734;4.6617026;10.357219;;339.7
522.0;399.1;;;;;;;;;;;;;;0.97506636;-0.057985168;-0.07513657;;;;;339.7
522.0;458.8;;;;;;;;;;;;;;;;;-23.968475;4.9058504;11.406293;;349.3
522.0;458.8;;;;;;;;;;;;;;0.94912565;-0.06671346;-0.09595019;;;;;349.3
522.0;458.8;;;;;;;;;;;;;;;;;-23.4344;3.4867396;12.573626;;349.3
