patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
364.0;258.8;;;;;;;;;;;;;;;;;;;;17;0.1
364.0;258.8;;;;;;;;;;;;;;;;;13.660849;0.5188147;1.2321848;;127.6
364.0;258.8;;;;;;;;;;;;;;0.8380993;0.121097445;-0.4064455;;;;;127.6
364.0;258.8;;;;;;;;;;;;;;;;;-5.7031465;-17.60155;-9.537035;;127.6
364.0;258.8;;;;;;;;;;;;;;0.8708762;0.12640767;-0.42103335;;;;;127.6
364.0;258.8;;;;;;;;;;;;;;;;;-65.01587;-84.97116;-62.7575;;137.2
364.0;258.8;;;;;;;;;;;;;;0.86971647;0.12799463;-0.42005676;;;;;137.2
364.0;258.8;;;;;;;;;;;;;;;;;-122.44026;-124.988556;-120.59007;;137.2
364.0;258.8;;;;;;;;;;;;;;0.8709372;0.12768945;-0.42072818;;;;;137.2
395.0;319.1;;;;;;;;;;;;;;;;;-57.90124;-124.81689;-78.56227;;146.9
395.0;319.1;;;;;;;;;;;;;;0.87228006;0.12994781;-0.4207892;;;;;146.9
395.0;319.1;;;;;;;;;;;;;;;;;9.529405;-124.938965;-32.46788;;146.9
395.0;319.1;;;;;;;;;;;;;;0.87405014;0.13086337;-0.42182684;;;;;146.9
395.0;319.1;;;;;;;;;;;;;;;;;6.023591;-96.77419;-25.04425;;156.6
395.0;319.1;;;;;;;;;;;;;;0.87185276;0.12952055;-0.41822565;;;;;156.6
395.0;319.1;;;;;;;;;;;;;;;;;-0.63325906;-7.3473315;-0.90792567;;156.6
395.0;319.1;;;;;;;;;;;;;;0.87026584;0.12958159;-0.41828668;;;;;156.6
395.0;319.1;;;;;;;;;;;;;;;;;-1.373333;-0.06103702;0.8735923;;166.2
395.0;319.1;;;;;;;;;;;;;;0.8708762;0.12884915;-0.41657767;;;;;166.2
395.0;319.1;;;;;;;;;;;;;;;;;-1.4076662;0.04196295;0.79729605;;166.2
395.0;319.1;;;;;;;;;;;;;;0.8699606;0.12793359;-0.4163335;;;;;166.2
395.0;320.3;;;;;;;;;;;;;;;;;-1.3428144;0.10681479;0.98803675;;175.9
395.0;320.3;;;;;;;;;;;;;;0.87044895;0.12726219;-0.41853085;;;;;175.9
395.0;320.3;;;;;;;;;;;;;;;;;-1.3199255;0.0839259;0.77822196;;175.9
395.0;320.3;;;;;;;;;;;;;;0.870571;0.12701803;-0.41737112;;;;;175.9
395.0;320.3;;;;;;;;;;;;;;;;;-1.289407;0.13351847;0.73625904;;185.6
395.0;320.3;;;;;;;;;;;;;;0.87063205;0.12689596;-0.41755426;;;;;185.6
395.0;320.3;;;;;;;;;;;;;;;;;-1.3008515;0.11444441;0.8888516;;185.6
395.0;320.3;;;;;;;;;;;;;;0.873867;0.12573627;-0.41651663;;;;;185.6
395.0;320.3;;;;;;;;;;;;;;;;;-1.1597034;0.064851835;0.7858516;;195.3
395.0;320.3;;;;;;;;;;;;;;0.8733787;0.12665181;-0.41669974;;;;;195.3
395.0;320.3;;;;;;;;;;;;;;;;;-1.1101108;0.16022217;0.75914794;;195.3
395.0;320.3;;;;;;;;;;;;;;0.8734397;0.12701803;-0.4156621;;;;;195.3
488.0;349.2;;;;;;;;;;;;;;;;;-1.0109257;0.17166662;0.7858516;;204.8
488.0;349.2;;;;;;;;;;;;;;0.8719748;0.12665181;-0.4143803;;;;;204.8
488.0;349.2;;;;;;;;;;;;;;;;;-0.96896267;0.22507401;0.6675924;;204.8
488.0;349.2;;;;;;;;;;;;;;0.87350076;0.1262856;-0.41261026;;;;;204.8
488.0;349.2;;;;;;;;;;;;;;;;;-0.9765923;0.24796289;0.67522204;;214.5
488.0;349.2;;;;;;;;;;;;;;0.87313455;0.1264687;-0.4113895;;;;;214.5
488.0;349.2;;;;;;;;;;;;;;;;;-0.96514785;0.23651844;0.69429606;;214.5
488.0;349.2;;;;;;;;;;;;;;0.8730125;0.12683493;-0.41193885;;;;;214.5
488.0;349.2;;;;;;;;;;;;;;;;;-0.9155553;0.15640736;0.5302591;;224.2
488.0;349.2;;;;;;;;;;;;;;0.8732566;0.12750633;-0.41090122;;;;;224.2
488.0;349.2;;;;;;;;;;;;;;;;;-0.85833305;0.16022217;0.51118505;;224.2
488.0;349.2;;;;;;;;;;;;;;0.8741112;0.12537004;-0.41340372;;;;;224.2
488.0;379.1;;;;;;;;;;;;;;;;;-0.86214787;0.14496292;0.5607776;;233.7
488.0;379.1;;;;;;;;;;;;;;0.8728294;0.1257973;-0.41328165;;;;;233.7
488.0;379.1;;;;;;;;;;;;;;;;;-0.76296276;0.0839259;0.46540728;;233.7
488.0;379.1;;;;;;;;;;;;;;0.87398905;0.12622456;-0.41431928;;;;;233.7
488.0;379.1;;;;;;;;;;;;;;;;;-0.6485183;0.07248146;0.45014802;;243.4
488.0;379.1;;;;;;;;;;;;;;0.873928;0.12537004;-0.41425824;;;;;243.4
488.0;379.1;;;;;;;;;;;;;;;;;-0.6218146;0.09155553;0.39674062;;243.4
488.0;379.1;;;;;;;;;;;;;;0.873928;0.123416856;-0.41315958;;;;;243.4
488.0;379.1;;;;;;;;;;;;;;;;;-0.5836665;0.17929624;0.40818506;;253.1
488.0;379.1;;;;;;;;;;;;;;0.87331766;0.12372204;-0.41212195;;;;;253.1
488.0;379.1;;;;;;;;;;;;;;;;;-0.5798517;0.14496292;0.43870357;;253.1
488.0;379.1;;;;;;;;;;;;;;0.87582016;0.12402722;-0.41315958;;;;;253.1
532.0;440.2;;;;;;;;;;;;;;;;;-0.48829615;0.20218512;0.3852962;;262.7
532.0;440.2;;;;;;;;;;;;;;0.875515;0.12372204;-0.41145054;;;;;262.7
532.0;440.2;;;;;;;;;;;;;;;;;-0.56840724;0.19837031;0.35859248;;262.7
532.0;440.2;;;;;;;;;;;;;;0.87545395;0.12451552;-0.41334268;;;;;262.7
532.0;440.2;;;;;;;;;;;;;;;;;-0.57222205;0.24414808;0.37385175;;272.2
532.0;440.2;;;;;;;;;;;;;;0.8769799;0.12567522;-0.41389203;;;;;272.2
532.0;440.2;;;;;;;;;;;;;;;;;-0.5302591;0.29755548;0.38911098;;272.2
532.0;440.2;;;;;;;;;;;;;;0.875576;0.12591937;-0.41328165;;;;;272.2
532.0;440.2;;;;;;;;;;;;;;;;;-0.5264443;0.24796289;0.37385175;;281.9
532.0;440.2;;;;;;;;;;;;;;0.8758812;0.12652974;-0.4125492;;;;;281.9
532.0;440.2;;;;;;;;;;;;;;;;;-0.5836665;0.23651844;0.38911098;;281.9
532.0;440.2;;;;;;;;;;;;;;0.873928;0.12701803;-0.41126743;;;;;281.9
532.0;469.4;;;;;;;;;;;;;;;;;-0.5645924;0.15640736;0.41199988;;291.5
532.0;469.4;;;;;;;;;;;;;;0.87398905;0.12701803;-0.41273233;;;;;291.5
532.0;469.4;;;;;;;;;;;;;;;;;-0.49592578;0.14877774;0.37385175;;291.5
532.0;469.4;;;;;;;;;;;;;;0.8750267;0.12738426;-0.41163367;;;;;291.5
532.0;469.4;;;;;;;;;;;;;;;;;-0.5302591;0.12970367;0.3929258;;301.0
532.0;469.4;;;;;;;;;;;;;;0.8748436;0.12659077;-0.41065708;;;;;301.0
532.0;469.4;;;;;;;;;;;;;;;;;-0.5760369;0.099185154;0.42344433;;301.0
532.0;469.4;;;;;;;;;;;;;;0.87673575;0.12775049;-0.41242713;;;;;301.0
532.0;469.4;;;;;;;;;;;;;;;;;-0.6065554;0.16403699;0.46159247;;310.7
532.0;469.4;;;;;;;;;;;;;;0.8760033;0.12652974;-0.41132846;;;;;310.7
532.0;469.4;;;;;;;;;;;;;;;;;-0.6828517;0.12970367;0.43107393;;310.7
532.0;469.4;;;;;;;;;;;;;;0.8742943;0.12756737;-0.410596;;;;;310.7
577.0;470.3;;;;;;;;;;;;;;;;;-0.77440715;0.08774071;0.46159247;;320.3
577.0;470.3;;;;;;;;;;;;;;0.8743553;0.12707907;-0.41016877;;;;;320.3
577.0;470.3;;;;;;;;;;;;;;;;;-0.77822196;0.026703697;0.45014802;;320.3
577.0;470.3;;;;;;;;;;;;;;0.87276834;0.12665181;-0.40919217;;;;;320.3
577.0;470.3;;;;;;;;;;;;;;;;;-0.8163701;0.07629627;0.45396283;;330.0
577.0;470.3;;;;;;;;;;;;;;0.87380594;0.12622456;-0.40736106;;;;;330.0
577.0;470.3;;;;;;;;;;;;;;;;;-0.8354442;0.026703697;0.42725915;;330.0
577.0;470.3;;;;;;;;;;;;;;0.8737449;0.12445448;-0.40900907;;;;;330.0
577.0;470.3;;;;;;;;;;;;;;;;;-0.82018495;-0.0038148137;0.4463332;;339.5
577.0;470.3;;;;;;;;;;;;;;0.87423325;0.12543108;-0.40900907;;;;;339.5
577.0;470.3;;;;;;;;;;;;;;;;;-0.79348123;-0.03051851;0.4158147;;339.5
577.0;470.3;;;;;;;;;;;;;;0.8757591;0.12457655;-0.4090701;;;;;339.5
577.0;529.5;;;;;;;;;;;;;;;;;-0.94225895;0.0076296274;0.46540728;;349.2
577.0;529.5;;;;;;;;;;;;;;0.8750267;0.12524797;-0.40754417;;;;;349.2
577.0;529.5;;;;;;;;;;;;;;;;;-0.8926664;0.0038148137;0.43488875;;349.2
577.0;529.5;;;;;;;;;;;;;;0.87618643;0.12494278;-0.4090701;;;;;349.2
577.0;529.5;;;;;;;;;;;;;;;;;-0.90792567;0.064851835;0.40055543;;358.9
577.0;529.5;;;;;;;;;;;;;;0.87398905;0.125309;-0.40900907;;;;;358.9
577.0;529.5;;;;;;;;;;;;;;;;;-0.93081456;0.07248146;0.43488875;;358.9
577.0;529.5;;;;;;;;;;;;;;0.87508774;0.12359996;-0.40998566;;;;;358.9
577.0;529.5;;;;;;;;;;;;;;;;;-0.90411085;0.0076296274;0.44251838;;368.5
577.0;529.5;;;;;;;;;;;;;;0.87496567;0.12292856;-0.40711692;;;;;368.5
577.0;529.5;;;;;;;;;;;;;;;;;-0.9117405;-0.038148135;0.41199988;;368.5
577.0;529.5;;;;;;;;;;;;;;0.8746605;0.12280648;-0.41090122;;;;;368.5
636.0;530.3;;;;;;;;;;;;;;;;;-0.80111086;-0.057222206;0.38148138;;378.2
636.0;530.3;;;;;;;;;;;;;;0.8756981;0.12262337;-0.40998566;;;;;378.2
636.0;530.3;;;;;;;;;;;;;;;;;-0.8087405;-0.06103702;0.35859248;;378.2
636.0;530.3;;;;;;;;;;;;;;0.8753929;0.12195197;-0.41163367;;;;;378.2
