patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
301.0;212.6;;;;;;;;;;;;;;;;;;;;17;0.1
301.0;212.6;;;;;;;;;;;;;;;;;14.656514;-0.11444441;-0.064851835;;127.4
301.0;212.6;;;;;;;;;;;;;;-0.8682516;-0.56178474;-0.09643849;;;;;127.4
301.0;212.6;;;;;;;;;;;;;;;;;-2.3422956;-17.300179;-8.507034;;127.4
301.0;212.6;;;;;;;;;;;;;;-0.9236122;-0.5656301;-0.09741508;;;;;127.4
301.0;212.6;;;;;;;;;;;;;;;;;-56.592762;-84.28068;-67.33528;;136.9
301.0;212.6;;;;;;;;;;;;;;-0.95999026;-0.5557421;-0.11896115;;;;;136.9
301.0;212.6;;;;;;;;;;;;;;;;;-120.265816;-124.988556;-122.71111;;136.9
301.0;212.6;;;;;;;;;;;;;;-1.0016174;-0.5569628;-0.14233834;;;;;136.9
363.0;213.4;;;;;;;;;;;;;;;;;-33.76492;-124.80926;-109.714035;;146.6
363.0;213.4;;;;;;;;;;;;;;-1.0435499;-0.5572069;-0.17322306;;;;;146.6
363.0;213.4;;;;;;;;;;;;;;;;;69.643234;-124.03485;-108.10801;;146.6
363.0;213.4;;;;;;;;;;;;;;-1.103061;-0.53724784;-0.1944029;;;;;146.6
363.0;213.4;;;;;;;;;;;;;;;;;82.41905;-91.09012;-116.54256;;156.2
363.0;213.4;;;;;;;;;;;;;;-1.1488998;-0.5240028;-0.24225593;;;;;156.2
363.0;213.4;;;;;;;;;;;;;;;;;82.08334;4.127629;-108.905304;;156.2
363.0;213.4;;;;;;;;;;;;;;-1.223487;-0.4854274;-0.2793054;;;;;156.2
363.0;213.4;;;;;;;;;;;;;;;;;81.09531;11.219367;-110.1947;;165.8
363.0;213.4;;;;;;;;;;;;;;-1.2968535;-0.42561114;-0.31415755;;;;;165.8
363.0;213.4;;;;;;;;;;;;;;;;;79.85931;9.033479;-111.999115;;165.8
363.0;213.4;;;;;;;;;;;;;;-1.3284097;-0.34571368;-0.33320108;;;;;165.8
363.0;273.2;;;;;;;;;;;;;;;;;77.84509;7.4541464;-113.128296;;175.5
363.0;273.2;;;;;;;;;;;;;;-1.3592334;-0.27973264;-0.34058657;;;;;175.5
363.0;273.2;;;;;;;;;;;;;;;;;75.38072;5.6230354;-114.19645;;175.5
