patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
289.0;212.9;;;;;;;;;;;;;;;;;;;;17;0.1
289.0;212.9;;;;;;;;;;;;;;;;;13.554033;0.8659627;0.03051851;;127.8
289.0;212.9;;;;;;;;;;;;;;-1.0976287;-0.39515367;-0.2763146;;;;;127.8
289.0;212.9;;;;;;;;;;;;;;;;;-4.737999;-17.757957;-7.698294;;127.8
289.0;212.9;;;;;;;;;;;;;;-1.1395001;-0.38264108;-0.2602008;;;;;127.8
289.0;212.9;;;;;;;;;;;;;;;;;-61.761833;-85.4442;-62.80709;;137.4
289.0;212.9;;;;;;;;;;;;;;-1.1396832;-0.3533433;-0.21063875;;;;;137.4
289.0;212.9;;;;;;;;;;;;;;;;;-121.76122;-124.988556;-120.86474;;137.4
289.0;212.9;;;;;;;;;;;;;;-1.1255226;-0.32917264;-0.18060854;;;;;137.4
350.0;213.7;;;;;;;;;;;;;;;;;-45.03769;-124.988556;-86.35594;;147.0
350.0;213.7;;;;;;;;;;;;;;-1.106296;-0.29407635;-0.17047639;;;;;147.0
350.0;213.7;;;;;;;;;;;;;;;;;43.359173;-124.988556;-55.162205;;147.0
350.0;213.7;;;;;;;;;;;;;;-1.0807215;-0.2614826;-0.17493209;;;;;147.0
350.0;213.7;;;;;;;;;;;;;;;;;50.138096;-109.340195;-58.553577;;156.7
350.0;213.7;;;;;;;;;;;;;;-1.0707114;-0.22199164;-0.17975402;;;;;156.7
350.0;213.7;;;;;;;;;;;;;;;;;47.78817;-55.654316;-42.48558;;156.7
350.0;213.7;;;;;;;;;;;;;;-1.0489212;-0.20355846;-0.19055757;;;;;156.7
350.0;213.7;;;;;;;;;;;;;;;;;46.929836;-51.736504;-46.784874;;166.3
350.0;213.7;;;;;;;;;;;;;;-1.0310373;-0.18768883;-0.18964201;;;;;166.3
350.0;213.7;;;;;;;;;;;;;;;;;46.17069;-52.67113;-52.9458;;166.3
350.0;213.7;;;;;;;;;;;;;;-1.0127872;-0.19006927;-0.17865536;;;;;166.3
350.0;273.3;;;;;;;;;;;;;;;;;45.564133;-53.70495;-58.435318;;176.0
350.0;273.3;;;;;;;;;;;;;;-0.99166846;-0.20032349;-0.18561357;;;;;176.0
350.0;273.3;;;;;;;;;;;;;;;;;46.338543;-55.478832;-63.951538;;176.0
350.0;273.3;;;;;;;;;;;;;;-0.96646017;-0.21149327;-0.2024598;;;;;176.0
350.0;273.3;;;;;;;;;;;;;;;;;48.78384;-57.927948;-68.77346;;185.6
350.0;273.3;;;;;;;;;;;;;;-0.9314249;-0.19165625;-0.2174749;;;;;185.6
350.0;273.3;;;;;;;;;;;;;;;;;51.221504;-59.942165;-73.435165;;185.6
350.0;273.3;;;;;;;;;;;;;;-0.89028597;-0.13843197;-0.2245552;;;;;185.6
350.0;273.3;;;;;;;;;;;;;;;;;52.28965;-60.197758;-78.93993;;195.3
350.0;273.3;;;;;;;;;;;;;;-0.8411512;-0.080141604;-0.22443312;;;;;195.3
350.0;273.3;;;;;;;;;;;;;;;;;51.862392;-58.01187;-84.2349;;195.3
350.0;273.3;;;;;;;;;;;;;;-0.821192;-0.03234962;-0.20960112;;;;;195.3
414.0;274.1;;;;;;;;;;;;;;;;;49.672688;-54.177986;-89.44593;;204.9
414.0;274.1;;;;;;;;;;;;;;-0.8084353;-0.0145268105;-0.19287698;;;;;204.9
414.0;274.1;;;;;;;;;;;;;;;;;46.3271;-48.54732;-93.85204;;204.9
414.0;274.1;;;;;;;;;;;;;;-0.83870965;-0.010742515;-0.17108676;;;;;204.9
414.0;274.1;;;;;;;;;;;;;;;;;41.96295;-42.100285;-98.151344;;214.6
414.0;274.1;;;;;;;;;;;;;;-0.9022492;-0.0253914;-0.1396527;;;;;214.6
414.0;274.1;;;;;;;;;;;;;;;;;37.743767;-36.847286;-101.45116;;214.6
414.0;274.1;;;;;;;;;;;;;;-0.9806818;-0.04687643;-0.112308115;;;;;214.6
414.0;274.1;;;;;;;;;;;;;;;;;32.6014;-32.528915;-104.606;;224.3
414.0;274.1;;;;;;;;;;;;;;-1.0625935;-0.07348857;-0.114322335;;;;;224.3
414.0;274.1;;;;;;;;;;;;;;;;;28.34788;-28.706472;-106.933044;;224.3
414.0;274.1;;;;;;;;;;;;;;-1.1401715;-0.081667535;-0.11841182;;;;;224.3
414.0;341.2;;;;;;;;;;;;;;;;;24.36903;-24.819178;-108.07749;;233.9
414.0;341.2;;;;;;;;;;;;;;-1.2311167;-0.09796441;-0.13672292;;;;;233.9
414.0;341.2;;;;;;;;;;;;;;;;;20.420698;-21.061586;-108.84427;;233.9
414.0;341.2;;;;;;;;;;;;;;-1.3203528;-0.09967345;-0.16046633;;;;;233.9
414.0;341.2;;;;;;;;;;;;;;;;;15.602588;-17.597734;-109.61104;;243.5
414.0;341.2;;;;;;;;;;;;;;-1.4025086;-0.100833155;-0.1892758;;;;;243.5
414.0;341.2;;;;;;;;;;;;;;;;;10.54796;-15.331736;-110.2443;;243.5
414.0;341.2;;;;;;;;;;;;;;-1.475692;-0.089602344;-0.21552171;;;;;243.5
414.0;341.2;;;;;;;;;;;;;;;;;5.142369;-14.511552;-110.66011;;253.2
414.0;341.2;;;;;;;;;;;;;;-1.5199438;-0.07281716;-0.23493148;;;;;253.2
414.0;341.2;;;;;;;;;;;;;;;;;0.37385175;-14.637441;-110.99582;;253.2
414.0;341.2;;;;;;;;;;;;;;-1.5289162;-0.053773616;-0.24390393;;;;;253.2
473.0;342.4;;;;;;;;;;;;;;;;;-3.4638507;-15.526292;-110.86611;;262.8
473.0;342.4;;;;;;;;;;;;;;-1.5110935;-0.041627247;-0.25086215;;;;;262.8
473.0;342.4;;;;;;;;;;;;;;;;;-6.44322;-16.468552;-110.23667;;262.8
473.0;342.4;;;;;;;;;;;;;;-1.477462;-0.029969176;-0.24671163;;;;;262.8
473.0;342.4;;;;;;;;;;;;;;;;;-8.747368;-17.31544;-109.2906;;272.5
473.0;342.4;;;;;;;;;;;;;;-1.4291208;-0.020630512;-0.21491134;;;;;272.5
473.0;342.4;;;;;;;;;;;;;;;;;-11.154515;-17.921995;-109.2143;;272.5
473.0;342.4;;;;;;;;;;;;;;-1.3638722;-0.01043733;-0.18457595;;;;;272.5
473.0;342.4;;;;;;;;;;;;;;;;;-13.172552;-17.365032;-109.126564;;282.2
473.0;342.4;;;;;;;;;;;;;;-1.3159581;-0.0110477;-0.13110752;;;;;282.2
473.0;342.4;;;;;;;;;;;;;;;;;-15.46144;-16.838589;-109.13419;;282.2
473.0;342.4;;;;;;;;;;;;;;-1.2449111;-0.008239998;-0.1010773;;;;;282.2
473.0;394.0;;;;;;;;;;;;;;;;;-17.342142;-15.476699;-108.87097;;291.8
473.0;394.0;;;;;;;;;;;;;;-1.1963866;-0.036744285;-0.08087405;;;;;291.8
473.0;394.0;;;;;;;;;;;;;;;;;-18.417921;-13.2793665;-107.86005;;291.8
473.0;394.0;;;;;;;;;;;;;;-1.1581774;-0.083254494;-0.08996857;;;;;291.8
473.0;394.0;;;;;;;;;;;;;;;;;-18.63155;-10.307627;-107.02841;;301.5
473.0;394.0;;;;;;;;;;;;;;-1.1234474;-0.11346782;-0.10522782;;;;;301.5
473.0;394.0;;;;;;;;;;;;;;;;;-18.837551;-7.461776;-106.46382;;301.5
473.0;394.0;;;;;;;;;;;;;;-1.0929289;-0.116641745;-0.11102634;;;;;301.5
473.0;394.0;;;;;;;;;;;;;;;;;-18.887142;-5.11948;-105.8649;;311.1
473.0;394.0;;;;;;;;;;;;;;-1.0565507;-0.1604053;-0.115421005;;;;;311.1
473.0;394.0;;;;;;;;;;;;;;;;;-18.356884;-2.4071476;-105.04089;;311.1
473.0;394.0;;;;;;;;;;;;;;-1.0381176;-0.16296884;-0.119754635;;;;;311.1
535.0;394.8;;;;;;;;;;;;;;;;;-18.44081;-0.015259255;-105.239265;;320.8
535.0;394.8;;;;;;;;;;;;;;-1.0268258;-0.17188025;-0.11224708;;;;;320.8
535.0;394.8;;;;;;;;;;;;;;;;;-18.555254;0.553148;-104.960785;;320.8
535.0;394.8;;;;;;;;;;;;;;-1.0112003;-0.20697653;-0.13373211;;;;;320.8
535.0;394.8;;;;;;;;;;;;;;;;;-17.899105;0.77822196;-104.48393;;330.4
535.0;394.8;;;;;;;;;;;;;;-0.99923706;-0.2111881;-0.14123966;;;;;330.4
535.0;394.8;;;;;;;;;;;;;;;;;-17.242958;1.3428144;-104.12916;;330.4
535.0;394.8;;;;;;;;;;;;;;-0.9939268;-0.20471816;-0.1347087;;;;;330.4
535.0;394.8;;;;;;;;;;;;;;;;;-16.781366;2.1248512;-103.71334;;340.1
535.0;394.8;;;;;;;;;;;;;;-0.99288917;-0.20844142;-0.14221625;;;;;340.1
535.0;394.8;;;;;;;;;;;;;;;;;-16.209145;2.9335918;-103.003784;;340.1
535.0;394.8;;;;;;;;;;;;;;-1.0075991;-0.19873653;-0.14612262;;;;;340.1
535.0;454.2;;;;;;;;;;;;;;;;;-15.892513;3.212073;-102.34382;;349.7
535.0;454.2;;;;;;;;;;;;;;-0.9964293;-0.19153416;-0.15228736;;;;;349.7
535.0;454.2;;;;;;;;;;;;;;;;;-14.561144;3.5325174;-100.802635;;349.7
535.0;454.2;;;;;;;;;;;;;;-0.9873959;-0.22974335;-0.15295877;;;;;349.7
535.0;454.2;;;;;;;;;;;;;;;;;-12.359997;4.1962953;-98.822754;;359.4
535.0;454.2;;;;;;;;;;;;;;-0.9693289;-0.23157445;-0.15625477;;;;;359.4
535.0;454.2;;;;;;;;;;;;;;;;;-10.082552;5.546739;-97.17475;;359.4
535.0;454.2;;;;;;;;;;;;;;-0.9568163;-0.22650838;-0.1612598;;;;;359.4
535.0;454.2;;;;;;;;;;;;;;;;;-7.7669606;6.3325906;-95.26734;;369.0
535.0;454.2;;;;;;;;;;;;;;-0.94717246;-0.21857357;-0.16968292;;;;;369.0
535.0;454.2;;;;;;;;;;;;;;;;;-5.035554;6.660665;-93.02423;;369.0
535.0;454.2;;;;;;;;;;;;;;-0.9409467;-0.28223518;-0.17371136;;;;;369.0
589.0;455.4;;;;;;;;;;;;;;;;;-0.96133304;7.5380716;-90.25849;;378.6
589.0;455.4;;;;;;;;;;;;;;-0.93527025;-0.30890834;-0.19080172;;;;;378.6
589.0;455.4;;;;;;;;;;;;;;;;;3.6660361;8.938108;-87.969604;;378.6
589.0;455.4;;;;;;;;;;;;;;-0.94894254;-0.32343516;-0.16492203;;;;;378.6
589.0;455.4;;;;;;;;;;;;;;;;;7.7517014;8.571886;-85.867645;;388.3
589.0;455.4;;;;;;;;;;;;;;-0.9311808;-0.3289285;-0.1530198;;;;;388.3
589.0;455.4;;;;;;;;;;;;;;;;;11.539811;8.976256;-83.903015;;388.3
589.0;455.4;;;;;;;;;;;;;;-0.9190344;-0.3399762;-0.14911343;;;;;388.3
589.0;455.4;;;;;;;;;;;;;;;;;15.560625;10.418256;-82.8196;;398.0
589.0;455.4;;;;;;;;;;;;;;-0.9025544;-0.3299051;-0.13080233;;;;;398.0
589.0;455.4;;;;;;;;;;;;;;;;;18.791773;11.505478;-82.44957;;398.0
589.0;455.4;;;;;;;;;;;;;;-0.95724356;-0.2929777;-0.13544114;;;;;398.0
589.0;514.6;;;;;;;;;;;;;;;;;19.737844;12.18833;-78.787346;;407.6
589.0;514.6;;;;;;;;;;;;;;-0.9965514;-0.30317086;-0.15912351;;;;;407.6
589.0;514.6;;;;;;;;;;;;;;;;;23.129215;10.956145;-76.05595;;407.6
589.0;514.6;;;;;;;;;;;;;;-0.9452803;-0.3109836;-0.11780145;;;;;407.6
589.0;514.6;;;;;;;;;;;;;;;;;27.432323;11.867886;-73.54579;;417.3
589.0;514.6;;;;;;;;;;;;;;-0.9450362;-0.30359814;-0.09454634;;;;;417.3
589.0;514.6;;;;;;;;;;;;;;;;;32.250435;13.286996;-69.51735;;417.3
589.0;514.6;;;;;;;;;;;;;;-0.95706046;-0.31232643;-0.08209479;;;;;417.3
589.0;514.6;;;;;;;;;;;;;;;;;37.701805;13.977477;-65.37828;;427.0
589.0;514.6;;;;;;;;;;;;;;-0.9748222;-0.31678212;-0.057252724;;;;;427.0
589.0;514.6;;;;;;;;;;;;;;;;;43.225655;13.370922;-61.80761;;427.0
589.0;514.6;;;;;;;;;;;;;;-0.9681082;-0.31830806;-0.03418073;;;;;427.0
649.0;515.4;;;;;;;;;;;;;;;;;48.471024;12.123478;-58.57265;;436.5
649.0;515.4;;;;;;;;;;;;;;-0.9569994;-0.3119602;-0.0048219245;;;;;436.5
649.0;515.4;;;;;;;;;;;;;;;;;52.823727;10.536515;-55.391094;;436.5
649.0;515.4;;;;;;;;;;;;;;-0.9443648;-0.3046968;-3.662221E-4;;;;;436.5
649.0;515.4;;;;;;;;;;;;;;;;;56.752983;9.0487385;-52.61391;;446.2
649.0;515.4;;;;;;;;;;;;;;-0.93057036;-0.30292672;0.013367107;;;;;446.2
649.0;515.4;;;;;;;;;;;;;;;;;59.171577;7.194739;-50.2678;;446.2
649.0;515.4;;;;;;;;;;;;;;-0.9175695;-0.29358807;0.019165624;;;;;446.2
649.0;515.4;;;;;;;;;;;;;;;;;60.052795;5.0050354;-48.413803;;455.9
649.0;515.4;;;;;;;;;;;;;;-0.89278847;-0.27826777;0.02069155;;;;;455.9
649.0;515.4;;;;;;;;;;;;;;;;;59.59502;3.4714804;-47.34947;;455.9
649.0;515.4;;;;;;;;;;;;;;-0.8710593;-0.27112645;0.02435377;;;;;455.9
649.0;529.5;;;;;;;;;;;;;;;;;58.202614;1.6937773;-46.483505;;465.5
