patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
313.0;216.9;;;;;;;;;;;;;;;;;;;;17;0.1
313.0;216.9;;;;;;;;;;;;;;;;;13.782922;0.12588885;1.7357402;;127.6
313.0;216.9;;;;;;;;;;;;;;0.9241615;-0.13336588;-0.20770897;;;;;127.6
313.0;216.9;;;;;;;;;;;;;;;;;-5.050813;-19.386885;-5.9320354;;127.6
313.0;216.9;;;;;;;;;;;;;;0.96786404;-0.15375225;-0.21601;;;;;127.6
313.0;216.9;;;;;;;;;;;;;;;;;-63.303017;-84.37224;-59.835354;;137.2
313.0;216.9;;;;;;;;;;;;;;0.9750053;-0.16968292;-0.20935698;;;;;137.2
313.0;216.9;;;;;;;;;;;;;;;;;-122.245705;-124.988556;-119.1786;;137.2
313.0;216.9;;;;;;;;;;;;;;0.9769585;-0.18359935;-0.20282601;;;;;137.2
380.0;224.0;;;;;;;;;;;;;;;;;-58.805355;-124.70626;-75.579094;;146.8
380.0;224.0;;;;;;;;;;;;;;0.9754326;-0.18567461;-0.19788201;;;;;146.8
380.0;224.0;;;;;;;;;;;;;;;;;9.006775;-124.95422;-25.284584;;146.8
380.0;224.0;;;;;;;;;;;;;;0.9725028;-0.18707846;-0.20075075;;;;;146.8
380.0;224.0;;;;;;;;;;;;;;;;;8.301035;-96.907715;-17.20481;;156.5
380.0;224.0;;;;;;;;;;;;;;0.9692068;-0.18134098;-0.20453505;;;;;156.5
380.0;224.0;;;;;;;;;;;;;;;;;5.2110357;-5.916776;6.2181463;;156.5
380.0;224.0;;;;;;;;;;;;;;0.96267587;-0.1693167;-0.20178838;;;;;156.5
380.0;224.0;;;;;;;;;;;;;;;;;8.262887;3.2425916;6.4012575;;166.2
380.0;224.0;;;;;;;;;;;;;;0.9544969;-0.1490524;-0.20453505;;;;;166.2
380.0;224.0;;;;;;;;;;;;;;;;;12.199775;4.634999;4.737999;;166.2
380.0;224.0;;;;;;;;;;;;;;0.9388104;-0.1267739;-0.20654927;;;;;166.2
380.0;276.4;;;;;;;;;;;;;;;;;15.671255;5.352184;3.6545916;;175.8
380.0;276.4;;;;;;;;;;;;;;0.92178106;-0.10626545;-0.20728172;;;;;175.8
