patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
stairsdown;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
273.0;215.5;;;;;;;;;;;;;;;;;;;;17;0.1
273.0;215.5;;;;;;;;;;;;;;;;;13.389997;1.2627033;1.1482589;;127.7
273.0;215.5;;;;;;;;;;;;;;0.87838376;-0.19086276;-0.08819849;;;;;127.7
273.0;215.5;;;;;;;;;;;;;;;;;-4.6464434;-16.464737;-9.205146;;127.7
273.0;215.5;;;;;;;;;;;;;;0.891995;-0.23157445;-0.13574633;;;;;127.7
273.0;215.5;;;;;;;;;;;;;;;;;-62.238686;-83.70083;-68.08298;;137.3
273.0;215.5;;;;;;;;;;;;;;0.84792626;-0.23700674;-0.18134098;;;;;137.3
273.0;215.5;;;;;;;;;;;;;;;;;-121.87185;-124.988556;-122.66533;;137.3
273.0;215.5;;;;;;;;;;;;;;0.81771296;-0.2360912;-0.23480941;;;;;137.3
333.0;216.3;;;;;;;;;;;;;;;;;-47.31895;-121.288185;-107.04367;;146.9
333.0;216.3;;;;;;;;;;;;;;0.8061159;-0.2278512;-0.26453444;;;;;146.9
333.0;216.3;;;;;;;;;;;;;;;;;38.357952;-112.220375;-102.63756;;146.9
333.0;216.3;;;;;;;;;;;;;;0.8052614;-0.20606098;-0.28412732;;;;;146.9
333.0;216.3;;;;;;;;;;;;;;;;;45.392467;-77.822205;-111.36967;;156.6
333.0;216.3;;;;;;;;;;;;;;0.80001223;-0.18689536;-0.29663992;;;;;156.6
333.0;216.3;;;;;;;;;;;;;;;;;46.166874;11.200293;-100.48982;;156.6
333.0;216.3;;;;;;;;;;;;;;0.8056276;-0.19000824;-0.28241828;;;;;156.6
333.0;216.3;;;;;;;;;;;;;;;;;48.100986;11.585589;-99.95574;;166.2
333.0;216.3;;;;;;;;;;;;;;0.8500015;-0.19653921;-0.2725303;;;;;166.2
333.0;216.3;;;;;;;;;;;;;;;;;50.34028;6.4813685;-100.95523;;166.2
333.0;216.3;;;;;;;;;;;;;;0.87673575;-0.19733268;-0.2855922;;;;;166.2
333.0;276.2;;;;;;;;;;;;;;;;;53.24717;4.711295;-102.603226;;175.9
333.0;276.2;;;;;;;;;;;;;;0.89901423;-0.19611195;-0.2633137;;;;;175.9
