patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
stairsup;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
307.0;217.5;;;;;;;;;;;;;;;;;;;;17;0.1
307.0;217.5;;;;;;;;;;;;;;;;;13.695181;-2.2621846;0.82018495;;127.7
307.0;217.5;;;;;;;;;;;;;;0.9696951;-0.28894925;-0.19263284;;;;;127.7
307.0;217.5;;;;;;;;;;;;;;;;;-5.7031465;-17.418438;-7.5991087;;127.7
307.0;217.5;;;;;;;;;;;;;;0.98568684;-0.2969451;-0.21503341;;;;;127.7
307.0;217.5;;;;;;;;;;;;;;;;;-62.57057;-84.66979;-61.372723;;137.3
307.0;217.5;;;;;;;;;;;;;;0.9733573;-0.29340494;-0.23920408;;;;;137.3
307.0;217.5;;;;;;;;;;;;;;;;;-121.92907;-124.988556;-119.8767;;137.3
307.0;217.5;;;;;;;;;;;;;;0.95992917;-0.2883999;-0.25366986;;;;;137.3
492.0;218.4;;;;;;;;;;;;;;;;;-47.925507;-124.98093;-77.520836;;147.0
492.0;218.4;;;;;;;;;;;;;;0.9528489;-0.285226;-0.26276436;;;;;147.0
492.0;218.4;;;;;;;;;;;;;;;;;37.656025;-124.988556;-31.392101;;147.0
492.0;218.4;;;;;;;;;;;;;;0.9460738;-0.27863398;-0.2694174;;;;;147.0
492.0;218.4;;;;;;;;;;;;;;;;;47.00995;-99.909966;-25.940733;;156.6
492.0;218.4;;;;;;;;;;;;;;0.9324625;-0.2809534;-0.26197088;;;;;156.6
492.0;218.4;;;;;;;;;;;;;;;;;47.88354;-17.00644;-3.9445176;;156.6
492.0;218.4;;;;;;;;;;;;;;0.9214759;-0.2699057;-0.2174749;;;;;156.6
492.0;218.4;;;;;;;;;;;;;;;;;49.405655;-11.448256;-4.1734066;;166.3
492.0;218.4;;;;;;;;;;;;;;0.9143956;-0.27143162;-0.17932676;;;;;166.3
492.0;218.4;;;;;;;;;;;;;;;;;51.736504;-13.344218;-6.408887;;166.3
492.0;218.4;;;;;;;;;;;;;;0.93002105;-0.26911223;-0.18762779;;;;;166.3
492.0;414.5;;;;;;;;;;;;;;;;;55.5475;-14.244514;-8.285776;;175.9
