patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
275.0;218.2;;;;;;;;;;;;;;;;;;;;17;0.1
275.0;218.2;;;;;;;;;;;;;;;;;13.336589;0.3318888;0.84688866;;127.4
275.0;218.2;;;;;;;;;;;;;;0.9173254;-0.030945769;-0.16583759;;;;;127.4
275.0;218.2;;;;;;;;;;;;;;;;;-5.4971466;-16.83096;-7.003998;;127.4
275.0;218.2;;;;;;;;;;;;;;0.9485153;-0.024842067;-0.16632588;;;;;127.4
275.0;218.2;;;;;;;;;;;;;;;;;-65.68728;-84.52864;-60.914944;;137.0
275.0;218.2;;;;;;;;;;;;;;0.94466996;-0.017578661;-0.17267373;;;;;137.0
275.0;218.2;;;;;;;;;;;;;;;;;-122.54326;-124.988556;-119.62112;;137.0
275.0;218.2;;;;;;;;;;;;;;0.9425337;-0.0114139225;-0.17456588;;;;;137.0
340.0;218.9;;;;;;;;;;;;;;;;;-65.46983;-124.87411;-75.21668;;146.7
340.0;218.9;;;;;;;;;;;;;;0.9443648;-0.0126957;-0.16895047;;;;;146.7
340.0;218.9;;;;;;;;;;;;;;;;;-9.483627;-124.90845;-23.85403;;146.7
340.0;218.9;;;;;;;;;;;;;;0.9418012;-0.013367107;-0.16016114;;;;;146.7
340.0;218.9;;;;;;;;;;;;;;;;;-18.444624;-97.86905;-14.076662;;156.4
340.0;218.9;;;;;;;;;;;;;;0.9400311;-0.0074465163;-0.15527818;;;;;156.4
340.0;218.9;;;;;;;;;;;;;;;;;-27.298807;-9.796441;11.417737;;156.4
340.0;218.9;;;;;;;;;;;;;;0.9470504;-0.0044557024;-0.15314189;;;;;156.4
340.0;218.9;;;;;;;;;;;;;;;;;-27.367474;-1.9951477;13.5883665;;165.9
340.0;218.9;;;;;;;;;;;;;;0.9515061;-0.003051851;-0.15295877;;;;;165.9
340.0;218.9;;;;;;;;;;;;;;;;;-26.242104;-1.4915922;13.706625;;165.9
340.0;218.9;;;;;;;;;;;;;;0.95364237;-0.0051271096;-0.15503404;;;;;165.9
340.0;278.5;;;;;;;;;;;;;;;;;-25.66225;-1.3885921;14.259773;;175.6
340.0;278.5;;;;;;;;;;;;;;0.96047854;-0.010742515;-0.16083254;;;;;175.6
340.0;278.5;;;;;;;;;;;;;;;;;-25.944548;-0.57222205;14.347514;;175.6
340.0;278.5;;;;;;;;;;;;;;0.9697562;-0.01678518;-0.15863521;;;;;175.6
340.0;278.5;;;;;;;;;;;;;;;;;-26.406141;0.7896664;14.484848;;185.2
340.0;278.5;;;;;;;;;;;;;;0.974395;-0.019714957;-0.14960173;;;;;185.2
340.0;278.5;;;;;;;;;;;;;;;;;-26.234474;1.4687033;14.522996;;185.2
