patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
301.0;219.1;;;;;;;;;;;;;;;;;;;;17;0.1
301.0;219.1;;;;;;;;;;;;;;;;;10.334331;3.3722954;2.704703;;127.6
301.0;219.1;;;;;;;;;;;;;;1.1513413;0.7927488;0.033265177;;;;;127.6
301.0;219.1;;;;;;;;;;;;;;;;;-10.422071;-11.860256;-3.765221;;127.6
301.0;219.1;;;;;;;;;;;;;;1.2466811;0.83321637;0.003906369;;;;;127.6
301.0;219.1;;;;;;;;;;;;;;;;;-59.884945;-83.92209;-60.1825;;137.1
301.0;219.1;;;;;;;;;;;;;;1.2879422;0.88680685;0.0076296274;;;;;137.1
301.0;219.1;;;;;;;;;;;;;;;;;-121.04785;-124.988556;-119.45326;;137.1
301.0;219.1;;;;;;;;;;;;;;1.295999;0.9045686;-0.041077916;;;;;137.1
364.0;219.9;;;;;;;;;;;;;;;;;-27.043215;-124.74059;-76.44887;;146.7
364.0;219.9;;;;;;;;;;;;;;1.2865382;0.9198889;-0.119327374;;;;;146.7
364.0;219.9;;;;;;;;;;;;;;;;;93.79101;-124.75204;-29.141361;;146.7
364.0;219.9;;;;;;;;;;;;;;1.2439954;0.8747215;-0.22095402;;;;;146.7
364.0;219.9;;;;;;;;;;;;;;;;;118.80856;-95.08804;-26.242104;;156.4
364.0;219.9;;;;;;;;;;;;;;1.2073733;0.9515671;-0.25495163;;;;;156.4
364.0;219.9;;;;;;;;;;;;;;;;;118.96878;1.083407;-14.54207;;156.4
364.0;219.9;;;;;;;;;;;;;;1.1685537;1.0727867;-0.16736351;;;;;156.4
364.0;219.9;;;;;;;;;;;;;;;;;113.53648;5.9129615;-4.9668875;;165.9
364.0;219.9;;;;;;;;;;;;;;1.0655843;0.9010895;-0.1617481;;;;;165.9
364.0;219.9;;;;;;;;;;;;;;;;;109.27916;-1.0185553;-5.7031465;;165.9
364.0;219.9;;;;;;;;;;;;;;1.0645467;0.8499405;-0.16742454;;;;;165.9
364.0;279.4;;;;;;;;;;;;;;;;;101.588486;-2.7809992;-8.068331;;175.6
364.0;279.4;;;;;;;;;;;;;;1.0543535;0.79244363;-0.15570544;;;;;175.6
364.0;279.4;;;;;;;;;;;;;;;;;91.90267;0.6904813;-10.982849;;175.6
364.0;279.4;;;;;;;;;;;;;;0.9894101;0.6949675;-0.090823084;;;;;175.6
364.0;279.4;;;;;;;;;;;;;;;;;80.38575;0.064851835;-14.080477;;185.2
364.0;279.4;;;;;;;;;;;;;;0.9240394;0.60371715;-0.040101323;;;;;185.2
364.0;279.4;;;;;;;;;;;;;;;;;64.718315;-1.106296;-15.289773;;185.2
364.0;279.4;;;;;;;;;;;;;;0.90359205;0.5340739;0.016418958;;;;;185.2
364.0;279.4;;;;;;;;;;;;;;;;;48.73806;1.1520737;-16.018402;;194.7
364.0;279.4;;;;;;;;;;;;;;0.8904691;0.504532;0.081118196;;;;;194.7
364.0;279.4;;;;;;;;;;;;;;;;;39.662617;1.0567034;-15.1104765;;194.7
364.0;279.4;;;;;;;;;;;;;;0.87594223;0.5055086;0.07904294;;;;;194.7
423.0;280.3;;;;;;;;;;;;;;;;;41.52806;-7.763146;-11.322367;;204.4
423.0;280.3;;;;;;;;;;;;;;0.88155764;0.47676015;-0.039185766;;;;;204.4
423.0;280.3;;;;;;;;;;;;;;;;;46.449173;-19.501328;-5.7222204;;204.4
423.0;280.3;;;;;;;;;;;;;;0.91830194;0.4615009;-0.13580737;;;;;204.4
423.0;280.3;;;;;;;;;;;;;;;;;46.75817;-33.989986;1.6327403;;214.0
423.0;280.3;;;;;;;;;;;;;;0.9693289;0.39777824;-0.19714957;;;;;214.0
423.0;280.3;;;;;;;;;;;;;;;;;44.64095;-49.27595;10.284738;;214.0
423.0;280.3;;;;;;;;;;;;;;1.0757774;0.30780968;-0.20746483;;;;;214.0
423.0;280.3;;;;;;;;;;;;;;;;;41.634876;-60.129093;18.34544;;223.7
423.0;280.3;;;;;;;;;;;;;;1.2063357;0.23462631;-0.20996734;;;;;223.7
423.0;280.3;;;;;;;;;;;;;;;;;35.309914;-61.4452;26.219215;;223.7
423.0;280.3;;;;;;;;;;;;;;1.3165685;0.17950988;-0.13159582;;;;;223.7
423.0;340.0;;;;;;;;;;;;;;;;;24.880215;-58.31706;32.91803;;233.3
423.0;340.0;;;;;;;;;;;;;;1.3920712;0.14093448;-0.036744285;;;;;233.3
423.0;340.0;;;;;;;;;;;;;;;;;12.134923;-52.713097;37.804806;;233.3
423.0;340.0;;;;;;;;;;;;;;1.4710532;0.11481063;0.06329539;;;;;233.3
423.0;340.0;;;;;;;;;;;;;;;;;-2.6245918;-39.838097;39.254433;;242.9
423.0;340.0;;;;;;;;;;;;;;1.4667195;0.0839259;0.20258187;;;;;242.9
423.0;340.0;;;;;;;;;;;;;;;;;-15.907774;-31.51799;36.671803;;242.9
423.0;340.0;;;;;;;;;;;;;;1.4268624;0.031861324;0.30744347;;;;;242.9
423.0;340.0;;;;;;;;;;;;;;;;;-21.031069;-33.18888;32.811214;;252.6
423.0;340.0;;;;;;;;;;;;;;1.4034241;-0.005798517;0.3487045;;;;;252.6
423.0;340.0;;;;;;;;;;;;;;;;;-25.753807;-31.601917;26.726585;;252.6
423.0;340.0;;;;;;;;;;;;;;1.4440749;0.0027466659;0.3378399;;;;;252.6
484.0;340.8;;;;;;;;;;;;;;;;;-33.883175;-9.73922;20.458845;;262.2
484.0;340.8;;;;;;;;;;;;;;1.505356;0.026490066;0.357799;;;;;262.2
484.0;340.8;;;;;;;;;;;;;;;;;-38.048954;30.056915;10.258034;;262.2
484.0;340.8;;;;;;;;;;;;;;1.4791101;0.08789331;0.4898221;;;;;262.2
484.0;340.8;;;;;;;;;;;;;;;;;-20.958586;52.365948;-7.045961;;271.9
484.0;340.8;;;;;;;;;;;;;;1.2674336;0.2891934;0.49616992;;;;;271.9
484.0;340.8;;;;;;;;;;;;;;;;;18.03644;28.736992;-23.777735;;271.9
484.0;340.8;;;;;;;;;;;;;;1.1241798;0.5135655;0.14880826;;;;;271.9
484.0;340.8;;;;;;;;;;;;;;;;;45.670948;-12.714774;-36.08814;;281.5
484.0;340.8;;;;;;;;;;;;;;1.1033661;0.5675222;-0.3602405;;;;;281.5
