patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
263.0;219.0;;;;;;;;;;;;;;;;;;;;17;0.1
263.0;219.0;;;;;;;;;;;;;;;;;13.386182;1.1749626;0.25559253;;127.3
263.0;219.0;;;;;;;;;;;;;;0.86556596;-0.003906369;-0.21375164;;;;;127.3
263.0;219.0;;;;;;;;;;;;;;;;;-6.069369;-18.108921;-8.7397375;;127.3
263.0;219.0;;;;;;;;;;;;;;0.83565784;-0.08319346;-0.1760918;;;;;127.3
263.0;219.0;;;;;;;;;;;;;;;;;-66.789764;-85.04364;-61.78472;;136.7
263.0;219.0;;;;;;;;;;;;;;0.83498645;-0.04297006;-0.22064883;;;;;136.7
263.0;219.0;;;;;;;;;;;;;;;;;-122.79504;-124.988556;-120.0293;;136.7
263.0;219.0;;;;;;;;;;;;;;0.8143559;-0.046571247;-0.21778008;;;;;136.7
324.0;226.5;;;;;;;;;;;;;;;;;-64.77172;-124.988556;-75.6592;;146.4
324.0;226.5;;;;;;;;;;;;;;0.8041017;-0.04956206;-0.17487106;;;;;146.4
324.0;226.5;;;;;;;;;;;;;;;;;-5.752739;-124.988556;-25.708029;;146.4
324.0;226.5;;;;;;;;;;;;;;0.80849636;-0.02887051;-0.21729179;;;;;146.4
324.0;226.5;;;;;;;;;;;;;;;;;-8.915219;-101.0773;-17.235327;;156.0
324.0;226.5;;;;;;;;;;;;;;0.7994018;-0.05468917;-0.20319223;;;;;156.0
324.0;226.5;;;;;;;;;;;;;;;;;-12.443922;-24.533068;8.934294;;156.0
324.0;226.5;;;;;;;;;;;;;;0.7663808;-0.01574755;-0.20892972;;;;;156.0
324.0;226.5;;;;;;;;;;;;;;;;;-8.213294;-19.936216;9.846034;;165.7
324.0;226.5;;;;;;;;;;;;;;0.7324442;-0.026795251;-0.23993652;;;;;165.7
324.0;226.5;;;;;;;;;;;;;;;;;-2.685629;-18.105106;5.031739;;165.7
324.0;226.5;;;;;;;;;;;;;;0.72743917;0.047425766;-0.23059785;;;;;165.7
324.0;279.2;;;;;;;;;;;;;;;;;-1.4763329;-16.579182;6.9429607;;175.3
324.0;279.2;;;;;;;;;;;;;;0.75643176;-0.0048829615;-0.11682486;;;;;175.3
324.0;279.2;;;;;;;;;;;;;;;;;0.057222206;-29.133732;12.684256;;175.3
324.0;279.2;;;;;;;;;;;;;;0.8866848;-0.09076205;-0.20191047;;;;;175.3
324.0;279.2;;;;;;;;;;;;;;;;;4.6006656;-26.20014;9.93759;;185.0
324.0;279.2;;;;;;;;;;;;;;0.8856471;7.9348125E-4;-0.24884793;;;;;185.0
324.0;279.2;;;;;;;;;;;;;;;;;7.3053684;-16.18244;6.4851832;;185.0
324.0;279.2;;;;;;;;;;;;;;0.74056214;0.056093022;-0.19135106;;;;;185.0
324.0;279.2;;;;;;;;;;;;;;;;;10.799738;-19.856104;8.934294;;194.7
324.0;279.2;;;;;;;;;;;;;;0.8209479;-0.0018311106;-0.10693686;;;;;194.7
324.0;279.2;;;;;;;;;;;;;;;;;13.363293;-28.004547;9.727776;;194.7
324.0;279.2;;;;;;;;;;;;;;0.85116124;0.04931791;-0.24463637;;;;;194.7
388.0;294.2;;;;;;;;;;;;;;;;;17.887661;-20.611439;7.980591;;204.2
388.0;294.2;;;;;;;;;;;;;;0.8098392;0.07434309;-0.1894589;;;;;204.2
388.0;294.2;;;;;;;;;;;;;;;;;23.468735;-22.766808;10.105441;;204.2
388.0;294.2;;;;;;;;;;;;;;0.81905574;0.07324442;-0.21893978;;;;;204.2
388.0;294.2;;;;;;;;;;;;;;;;;28.565325;-24.025698;9.212775;;213.9
388.0;294.2;;;;;;;;;;;;;;0.8845485;0.07849361;-0.1871395;;;;;213.9
388.0;294.2;;;;;;;;;;;;;;;;;30.816065;-26.211584;9.00296;;213.9
388.0;294.2;;;;;;;;;;;;;;0.89651173;0.116763815;-0.2115543;;;;;213.9
388.0;294.2;;;;;;;;;;;;;;;;;33.75729;-24.536882;9.880367;;223.5
388.0;294.2;;;;;;;;;;;;;;0.8898587;0.119449444;-0.23938718;;;;;223.5
388.0;294.2;;;;;;;;;;;;;;;;;37.297436;-23.888363;11.494034;;223.5
388.0;294.2;;;;;;;;;;;;;;0.92428356;0.11877804;-0.24280526;;;;;223.5
