patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
268.0;219.4;;;;;;;;;;;;;;;;;;;;17;0.1
268.0;219.4;;;;;;;;;;;;;;;;;13.40907;0.33951843;0.87740713;;127.6
268.0;219.4;;;;;;;;;;;;;;0.8764306;0.10522782;-0.17004913;;;;;127.6
268.0;219.4;;;;;;;;;;;;;;;;;-6.572924;-18.597218;-6.344035;;127.6
268.0;219.4;;;;;;;;;;;;;;0.9140904;0.11023286;-0.1850032;;;;;127.6
268.0;219.4;;;;;;;;;;;;;;;;;-65.660576;-84.80712;-58.530685;;137.2
268.0;219.4;;;;;;;;;;;;;;0.91488385;0.09967345;-0.19141209;;;;;137.2
268.0;219.4;;;;;;;;;;;;;;;;;-122.60048;-124.988556;-118.04178;;137.2
268.0;219.4;;;;;;;;;;;;;;0.9175695;0.08600116;-0.21613209;;;;;137.2
321.0;220.2;;;;;;;;;;;;;;;;;-64.11558;-124.988556;-64.18043;;146.8
321.0;220.2;;;;;;;;;;;;;;0.9252602;0.054383986;-0.24622333;;;;;146.8
321.0;220.2;;;;;;;;;;;;;;;;;-5.5810723;-124.988556;3.257851;;146.8
321.0;220.2;;;;;;;;;;;;;;0.93417156;0.03216651;-0.2675863;;;;;146.8
321.0;220.2;;;;;;;;;;;;;;;;;-11.226996;-100.203705;20.546587;;156.5
321.0;220.2;;;;;;;;;;;;;;0.9335002;0.0046388134;-0.27784052;;;;;156.5
321.0;220.2;;;;;;;;;;;;;;;;;-16.90344;-16.281626;49.92065;;156.5
321.0;220.2;;;;;;;;;;;;;;0.93295085;-0.036317028;-0.28107548;;;;;156.5
321.0;220.2;;;;;;;;;;;;;;;;;-12.981811;-9.769737;53.941467;;166.0
321.0;220.2;;;;;;;;;;;;;;0.9470504;-0.072878204;-0.2987762;;;;;166.0
321.0;220.2;;;;;;;;;;;;;;;;;-7.26722;-10.124516;57.33665;;166.0
321.0;220.2;;;;;;;;;;;;;;0.9493698;-0.120303966;-0.30787072;;;;;166.0
321.0;279.4;;;;;;;;;;;;;;;;;-4.5854063;-10.563219;59.526356;;175.7
321.0;279.4;;;;;;;;;;;;;;0.9508347;-0.14502396;-0.3211768;;;;;175.7
321.0;279.4;;;;;;;;;;;;;;;;;-3.1586657;-10.395368;60.34272;;175.7
321.0;279.4;;;;;;;;;;;;;;0.94137394;-0.1864681;-0.32490006;;;;;175.7
321.0;279.4;;;;;;;;;;;;;;;;;-0.6485183;-9.399701;59.125797;;185.2
321.0;279.4;;;;;;;;;;;;;;0.9340495;-0.19898069;-0.31537828;;;;;185.2
321.0;279.4;;;;;;;;;;;;;;;;;0.14877774;-9.296701;57.569355;;185.2
321.0;279.4;;;;;;;;;;;;;;0.9394818;-0.20752586;-0.31965086;;;;;185.2
321.0;279.4;;;;;;;;;;;;;;;;;-1.6899625;-9.323405;55.013428;;194.7
321.0;279.4;;;;;;;;;;;;;;0.9322184;-0.2151555;-0.31958982;;;;;194.7
321.0;279.4;;;;;;;;;;;;;;;;;-4.119999;-10.010071;51.28254;;194.7
321.0;279.4;;;;;;;;;;;;;;0.941435;-0.14728233;-0.34388256;;;;;194.7
383.0;280.2;;;;;;;;;;;;;;;;;-5.8099613;-9.067812;51.328316;;204.4
383.0;280.2;;;;;;;;;;;;;;0.9144566;-0.11249123;-0.3455916;;;;;204.4
383.0;280.2;;;;;;;;;;;;;;;;;-7.4808497;-8.419294;50.740837;;204.4
383.0;280.2;;;;;;;;;;;;;;0.9012726;-0.07678457;-0.34101382;;;;;204.4
383.0;280.2;;;;;;;;;;;;;;;;;-9.956663;-7.9462566;49.80239;;214.0
383.0;280.2;;;;;;;;;;;;;;0.90340894;-0.029969176;-0.34626302;;;;;214.0
383.0;280.2;;;;;;;;;;;;;;;;;-11.909848;-6.576739;48.551136;;214.0
383.0;280.2;;;;;;;;;;;;;;0.90987885;0.025635548;-0.35047457;;;;;214.0
383.0;280.2;;;;;;;;;;;;;;;;;-12.749107;-5.9701834;48.01706;;223.7
383.0;280.2;;;;;;;;;;;;;;0.90408033;0.067751095;-0.35486922;;;;;223.7
383.0;280.2;;;;;;;;;;;;;;;;;-13.775291;-4.997406;46.628468;;223.7
383.0;280.2;;;;;;;;;;;;;;0.89907527;0.114322335;-0.36494035;;;;;223.7
383.0;347.7;;;;;;;;;;;;;;;;;-14.217811;-3.7423322;44.873653;;233.3
383.0;347.7;;;;;;;;;;;;;;0.88949245;0.14600055;-0.36805323;;;;;233.3
383.0;347.7;;;;;;;;;;;;;;;;;-14.275033;-2.6932585;43.04636;;233.3
383.0;347.7;;;;;;;;;;;;;;0.8777123;0.17731254;-0.3581042;;;;;233.3
383.0;347.7;;;;;;;;;;;;;;;;;-15.270699;-2.2698143;40.65447;;242.9
383.0;347.7;;;;;;;;;;;;;;0.87606436;0.21338542;-0.32502213;;;;;242.9
383.0;347.7;;;;;;;;;;;;;;;;;-16.529589;-3.971221;38.922546;;242.9
383.0;347.7;;;;;;;;;;;;;;0.86519974;0.25415814;-0.3030488;;;;;242.9
383.0;347.7;;;;;;;;;;;;;;;;;-17.265846;-7.3473315;39.052246;;252.6
383.0;347.7;;;;;;;;;;;;;;0.8615375;0.27362895;-0.29816583;;;;;252.6
383.0;347.7;;;;;;;;;;;;;;;;;-16.96829;-10.395368;40.864285;;252.6
383.0;347.7;;;;;;;;;;;;;;0.84377575;0.26044497;-0.2929777;;;;;252.6
444.0;348.5;;;;;;;;;;;;;;;;;-16.636404;-13.023774;41.63869;;262.2
444.0;348.5;;;;;;;;;;;;;;0.8382214;0.2395703;-0.296762;;;;;262.2
444.0;348.5;;;;;;;;;;;;;;;;;-16.91107;-14.2407;40.429394;;262.2
444.0;348.5;;;;;;;;;;;;;;0.83803827;0.23554185;-0.29902035;;;;;262.2
444.0;348.5;;;;;;;;;;;;;;;;;-18.024994;-14.275033;39.22391;;271.9
444.0;348.5;;;;;;;;;;;;;;0.8402966;0.2301706;-0.29407635;;;;;271.9
444.0;348.5;;;;;;;;;;;;;;;;;-19.421217;-14.206367;37.94214;;271.9
444.0;348.5;;;;;;;;;;;;;;0.847499;0.23371075;-0.28791162;;;;;271.9
444.0;348.5;;;;;;;;;;;;;;;;;-21.553698;-14.374218;37.38899;;281.5
444.0;348.5;;;;;;;;;;;;;;0.8455458;0.20221564;-0.27643666;;;;;281.5
444.0;348.5;;;;;;;;;;;;;;;;;-23.815882;-16.148108;36.99225;;281.5
444.0;348.5;;;;;;;;;;;;;;0.86483353;0.17816706;-0.29010895;;;;;281.5
444.0;400.1;;;;;;;;;;;;;;;;;-24.983213;-16.617329;36.236916;;291.1
444.0;400.1;;;;;;;;;;;;;;0.8714255;0.15533921;-0.29395428;;;;;291.1
444.0;400.1;;;;;;;;;;;;;;;;;-26.520586;-16.449478;35.72573;;291.1
444.0;400.1;;;;;;;;;;;;;;0.87380594;0.13574633;-0.29377118;;;;;291.1
444.0;400.1;;;;;;;;;;;;;;;;;-28.065584;-17.08655;35.340435;;300.7
444.0;400.1;;;;;;;;;;;;;;0.8695944;0.10974456;-0.29706717;;;;;300.7
444.0;400.1;;;;;;;;;;;;;;;;;-29.942472;-17.929625;35.096287;;300.7
444.0;400.1;;;;;;;;;;;;;;0.859035;0.0827662;-0.30280465;;;;;300.7
444.0;400.1;;;;;;;;;;;;;;;;;-32.01773;-19.28007;35.184025;;310.3
444.0;400.1;;;;;;;;;;;;;;0.84829247;0.04669332;-0.30512404;;;;;310.3
444.0;400.1;;;;;;;;;;;;;;;;;-33.455917;-20.695364;35.500656;;310.3
444.0;400.1;;;;;;;;;;;;;;0.8476211;0.011535997;-0.30774865;;;;;310.3
503.0;400.9;;;;;;;;;;;;;;;;;-35.267952;-21.09592;35.584583;;319.9
503.0;400.9;;;;;;;;;;;;;;0.85152745;-0.014038514;-0.3128147;;;;;319.9
503.0;400.9;;;;;;;;;;;;;;;;;-36.835842;-20.60381;35.89358;;319.9
503.0;400.9;;;;;;;;;;;;;;0.8564104;-0.03784295;-0.30152288;;;;;319.9
503.0;400.9;;;;;;;;;;;;;;;;;-38.44188;-20.851772;36.774803;;329.5
