patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
269.0;211.9;;;;;;;;;;;;;;;;;;;;17;0.1
269.0;211.9;;;;;;;;;;;;;;;;;13.225959;0.92699975;1.1749626;;127.4
269.0;211.9;;;;;;;;;;;;;;-0.5912656;0.6361278;-0.42683187;;;;;127.4
269.0;211.9;;;;;;;;;;;;;;;;;-6.7979984;-19.173254;-7.942442;;127.4
269.0;211.9;;;;;;;;;;;;;;-0.583636;0.6573687;-0.43604848;;;;;127.4
269.0;211.9;;;;;;;;;;;;;;;;;-65.03113;-85.9859;-69.219795;;137.0
269.0;211.9;;;;;;;;;;;;;;-0.5757012;0.6461989;-0.42890713;;;;;137.0
269.0;211.9;;;;;;;;;;;;;;;;;-122.48985;-124.988556;-123.01248;;137.0
269.0;211.9;;;;;;;;;;;;;;-0.5650807;0.64674824;-0.4203009;;;;;137.0
330.0;212.7;;;;;;;;;;;;;;;;;-55.37202;-124.988556;-108.161415;;146.6
330.0;212.7;;;;;;;;;;;;;;-0.57399213;0.6288034;-0.4132206;;;;;146.6
330.0;212.7;;;;;;;;;;;;;;;;;17.544327;-124.988556;-103.32041;;146.6
330.0;212.7;;;;;;;;;;;;;;-0.56215096;0.6295358;-0.40516374;;;;;146.6
330.0;212.7;;;;;;;;;;;;;;;;;18.250069;-106.34175;-109.72548;;156.3
330.0;212.7;;;;;;;;;;;;;;-0.5802179;0.6196478;-0.38392285;;;;;156.3
330.0;212.7;;;;;;;;;;;;;;;;;14.33607;-42.80221;-96.21342;;156.3
330.0;212.7;;;;;;;;;;;;;;-0.59688103;0.61439866;-0.36036256;;;;;156.3
330.0;212.7;;;;;;;;;;;;;;;;;16.0947;-39.07132;-93.45149;;165.8
330.0;212.7;;;;;;;;;;;;;;-0.603412;0.6187933;-0.34931487;;;;;165.8
330.0;212.7;;;;;;;;;;;;;;;;;18.967255;-41.940063;-91.54408;;165.8
