patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
251.0;212.6;;;;;;;;;;;;;;;;;;;;17;0.1
251.0;212.6;;;;;;;;;;;;;;;;;13.618885;0.37385175;1.2550737;;127.6
251.0;212.6;;;;;;;;;;;;;;-0.9206824;-0.23926511;-0.38642538;;;;;127.6
251.0;212.6;;;;;;;;;;;;;;;;;-5.771813;-18.261513;-7.4465165;;127.6
251.0;212.6;;;;;;;;;;;;;;-0.95864743;-0.24976349;-0.41145054;;;;;127.6
251.0;212.6;;;;;;;;;;;;;;;;;-64.07361;-84.910126;-60.06424;;137.2
251.0;212.6;;;;;;;;;;;;;;-0.95919675;-0.2531205;-0.41590625;;;;;137.2
251.0;212.6;;;;;;;;;;;;;;;;;-122.27622;-124.988556;-119.15189;;137.2
251.0;212.6;;;;;;;;;;;;;;-0.98208565;-0.25214392;-0.40937528;;;;;137.2
313.0;213.4;;;;;;;;;;;;;;;;;-58.091984;-124.88556;-72.492905;;146.7
313.0;213.4;;;;;;;;;;;;;;-0.9983825;-0.2609943;-0.40058595;;;;;146.7
313.0;213.4;;;;;;;;;;;;;;;;;7.889035;-124.988556;-17.42607;;146.7
313.0;213.4;;;;;;;;;;;;;;-1.0141912;-0.2696005;-0.3958861;;;;;146.7
313.0;213.4;;;;;;;;;;;;;;;;;1.8158513;-100.09308;-7.0917387;;156.4
313.0;213.4;;;;;;;;;;;;;;-1.0265816;-0.25916317;-0.38593706;;;;;156.4
313.0;213.4;;;;;;;;;;;;;;;;;-7.797479;-16.6097;17.410809;;156.4
313.0;213.4;;;;;;;;;;;;;;-1.0395825;-0.2519608;-0.3700064;;;;;156.4
313.0;213.4;;;;;;;;;;;;;;;;;-11.257515;-9.910886;18.177588;;166.0
313.0;213.4;;;;;;;;;;;;;;-1.0620441;-0.27234718;-0.36255988;;;;;166.0
313.0;213.4;;;;;;;;;;;;;;;;;-14.030885;-11.013368;16.9187;;166.0
