patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
280.0;211.7;;;;;;;;;;;;;;;;;;;;17;0.1
280.0;211.7;;;;;;;;;;;;;;;;;12.825403;2.0371106;-0.23270364;;127.6
280.0;211.7;;;;;;;;;;;;;;-0.5905942;0.67067474;-0.3509018;;;;;127.6
280.0;211.7;;;;;;;;;;;;;;;;;-6.1151466;-17.460402;-7.9462566;;127.6
280.0;211.7;;;;;;;;;;;;;;-0.61470383;0.6961882;-0.36512345;;;;;127.6
280.0;211.7;;;;;;;;;;;;;;;;;-63.497574;-85.60442;-60.602127;;137.1
280.0;211.7;;;;;;;;;;;;;;-0.6198309;0.6983856;-0.36255988;;;;;137.1
280.0;211.7;;;;;;;;;;;;;;;;;-122.27241;-124.988556;-119.49141;;137.1
280.0;211.7;;;;;;;;;;;;;;-0.62013614;0.6999115;-0.35639516;;;;;137.1
341.0;219.2;;;;;;;;;;;;;;;;;-49.447617;-124.988556;-70.364235;;146.8
341.0;219.2;;;;;;;;;;;;;;-0.61903745;0.70094913;-0.3515122;;;;;146.8
341.0;219.2;;;;;;;;;;;;;;;;;31.376842;-124.988556;-12.043367;;146.8
341.0;219.2;;;;;;;;;;;;;;-0.6154973;0.7018036;-0.35010836;;;;;146.8
341.0;219.2;;;;;;;;;;;;;;;;;33.87173;-103.78582;0.4463332;;156.5
341.0;219.2;;;;;;;;;;;;;;-0.6103091;0.70778525;-0.34803307;;;;;156.5
341.0;219.2;;;;;;;;;;;;;;;;;29.812769;-31.552322;26.905882;;156.5
341.0;219.2;;;;;;;;;;;;;;-0.6027406;0.7169408;-0.35010836;;;;;156.5
341.0;219.2;;;;;;;;;;;;;;;;;29.362621;-25.204473;29.087955;;166.2
341.0;219.2;;;;;;;;;;;;;;-0.5966979;0.7259133;-0.35523546;;;;;166.2
341.0;219.2;;;;;;;;;;;;;;;;;29.320658;-25.173954;29.354992;;166.2
341.0;219.2;;;;;;;;;;;;;;-0.58790857;0.7354961;-0.35883662;;;;;166.2
341.0;272.1;;;;;;;;;;;;;;;;;28.832361;-25.143436;29.992064;;175.8
341.0;272.1;;;;;;;;;;;;;;-0.5783868;0.7439802;-0.36201057;;;;;175.8
341.0;272.1;;;;;;;;;;;;;;;;;28.351696;-25.05188;30.137028;;175.8
341.0;272.1;;;;;;;;;;;;;;-0.5685598;0.7467879;-0.3668325;;;;;175.8
341.0;272.1;;;;;;;;;;;;;;;;;27.93588;-24.746696;30.438398;;185.5
341.0;272.1;;;;;;;;;;;;;;-0.5590991;0.7481918;-0.37391278;;;;;185.5
341.0;272.1;;;;;;;;;;;;;;;;;27.672657;-24.033327;30.934324;;185.5
341.0;272.1;;;;;;;;;;;;;;-0.5509201;0.7480697;-0.38026062;;;;;185.5
341.0;272.1;;;;;;;;;;;;;;;;;27.72225;-23.148289;31.159399;;195.0
341.0;272.1;;;;;;;;;;;;;;-0.54896694;0.74513996;-0.38441116;;;;;195.0
341.0;272.1;;;;;;;;;;;;;;;;;27.61162;-22.442549;31.514175;;195.0
341.0;272.1;;;;;;;;;;;;;;-0.54481643;0.7431868;-0.38398388;;;;;195.0
403.0;279.6;;;;;;;;;;;;;;;;;27.249214;-21.790216;31.888027;;204.6
403.0;279.6;;;;;;;;;;;;;;-0.5421308;0.7379986;-0.38489944;;;;;204.6
403.0;279.6;;;;;;;;;;;;;;;;;26.863918;-21.225624;31.937622;;204.6
403.0;279.6;;;;;;;;;;;;;;-0.54194766;0.7311014;-0.3834956;;;;;204.6
403.0;279.6;;;;;;;;;;;;;;;;;26.348919;-20.77929;32.132175;;214.3
403.0;279.6;;;;;;;;;;;;;;-0.5435957;0.72359383;-0.38709676;;;;;214.3
403.0;279.6;;;;;;;;;;;;;;;;;25.91403;-20.386364;32.30766;;214.3
403.0;279.6;;;;;;;;;;;;;;-0.5493942;0.7126072;-0.39448225;;;;;214.3
403.0;279.6;;;;;;;;;;;;;;;;;25.688955;-19.932402;32.338177;;224.0
403.0;279.6;;;;;;;;;;;;;;-0.5582446;0.7003388;-0.40003663;;;;;224.0
403.0;279.6;;;;;;;;;;;;;;;;;25.452436;-19.680622;32.53655;;224.0
403.0;279.6;;;;;;;;;;;;;;-0.56929225;0.69252604;-0.40321055;;;;;224.0
