patientId;holterMac;flexMac
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
453.0;318.4;;;;;;;;;;;;;;0.9215369;-0.26062807;-0.22070986;;;;;262.3;
453.0;318.4;;;;;;;;;;;;;;;;;-4.7418137;1.2779626;-0.011444441;;272.0;
453.0;318.4;;;;;;;;;;;;;;0.92440563;-0.25971252;-0.21973327;;;;;272.0;
453.0;318.4;;;;;;;;;;;;;;;;;-4.799036;1.4343699;-0.049592577;;272.0;
453.0;318.4;;;;;;;;;;;;;;0.9238563;-0.25916317;-0.21857357;;;;;272.0;
453.0;318.4;;;;;;;;;;;;;;;;;-4.9058504;1.3504441;0.0;;281.7;
453.0;318.4;;;;;;;;;;;;;;0.9234901;-0.2612995;-0.22040467;;;;;281.7;
453.0;318.4;;;;;;;;;;;;;;;;;-4.9401836;1.3237404;0.07629627;;281.7;
453.0;318.4;;;;;;;;;;;;;;0.9237953;-0.25916317;-0.22064883;;;;;281.7;
453.0;348.4;;;;;;;;;;;;;;;;;-4.860073;1.3122959;0.12207404;;291.4;
453.0;348.4;;;;;;;;;;;;;;0.92281866;-0.25745416;-0.22022156;;;;;291.4;
453.0;348.4;;;;;;;;;;;;;;;;;-4.554888;1.2665181;0.20981476;;291.4;
453.0;348.4;;;;;;;;;;;;;;0.9238563;-0.26190984;-0.21692556;;;;;291.4;
453.0;348.4;;;;;;;;;;;;;;;;;-4.6006656;1.3237404;0.22507401;;301.0;
453.0;348.4;;;;;;;;;;;;;;0.9223914;-0.26197088;-0.21570483;;;;;301.0;
453.0;348.4;;;;;;;;;;;;;;;;;-4.5930357;1.3618885;0.3318888;;301.0;
453.0;348.4;;;;;;;;;;;;;;0.92196417;-0.26313058;-0.21668142;;;;;301.0;
453.0;348.4;;;;;;;;;;;;;;;;;-4.7799616;1.2321848;0.43488875;;310.7;
453.0;348.4;;;;;;;;;;;;;;0.92324597;-0.26435134;-0.21521653;;;;;310.7;
453.0;348.4;;;;;;;;;;;;;;;;;-4.909665;1.2245551;0.54551834;;310.7;
453.0;348.4;;;;;;;;;;;;;;0.9227576;-0.26569414;-0.21710868;;;;;310.7;
515.0;378.4;;;;;;;;;;;;;;;;;-4.936369;1.3008515;0.6027406;;320.3;
515.0;378.4;;;;;;;;;;;;;;0.92336804;-0.26667073;-0.21588793;;;;;320.3;
515.0;378.4;;;;;;;;;;;;;;;;;-4.9859614;1.3237404;0.6447035;;320.3;
515.0;378.4;;;;;;;;;;;;;;0.9251381;-0.2689291;-0.21625416;;;;;320.3;
515.0;378.4;;;;;;;;;;;;;;;;;-4.871517;1.289407;0.59129614;;330.0;
515.0;378.4;;;;;;;;;;;;;;0.9236122;-0.2694174;-0.21686453;;;;;330.0;
515.0;378.4;;;;;;;;;;;;;;;;;-4.844814;1.167333;0.6179998;;330.0;
515.0;378.4;;;;;;;;;;;;;;0.9234901;-0.2702109;-0.21668142;;;;;330.0;
515.0;378.4;;;;;;;;;;;;;;;;;-4.7875915;1.2512589;0.76296276;;339.6;
515.0;378.4;;;;;;;;;;;;;;0.9223304;-0.27130955;-0.21558276;;;;;339.6;
515.0;378.4;;;;;;;;;;;;;;;;;-4.696036;1.1787775;0.7896664;;339.6;
515.0;378.4;;;;;;;;;;;;;;0.92318493;-0.2702109;-0.21771905;;;;;339.6;
515.0;401.0;;;;;;;;;;;;;;;;;-4.608295;1.1597034;0.84307384;;349.2;
515.0;401.0;;;;;;;;;;;;;;0.9230018;-0.27246925;-0.21668142;;;;;349.2;
515.0;401.0;;;;;;;;;;;;;;;;;-4.360332;1.1215552;0.8354442;;349.2;
515.0;401.0;;;;;;;;;;;;;;0.92287976;-0.27063814;-0.21619312;;;;;349.2;
515.0;401.0;;;;;;;;;;;;;;;;;-4.0971103;1.1177404;0.84307384;;358.9;
515.0;401.0;;;;;;;;;;;;;;0.920011;-0.26978362;-0.21411787;;;;;358.9;
515.0;401.0;;;;;;;;;;;;;;;;;-3.9216285;1.1520737;0.8163701;;358.9;
515.0;401.0;;;;;;;;;;;;;;0.9211707;-0.2675863;-0.21369061;;;;;358.9;
515.0;401.0;;;;;;;;;;;;;;;;;-3.6088138;1.0147405;0.7705924;;368.5;
515.0;401.0;;;;;;;;;;;;;;0.9213538;-0.26819667;-0.21454512;;;;;368.5;
515.0;401.0;;;;;;;;;;;;;;;;;-3.2654805;1.0109257;0.6904813;;368.5;
