patientId;holterMac;flexMac
jp_portaat_ylös;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp;
464.0;339.2;;;;;;;;;;;;;;;;;-18.219551;-8.846553;30.457472;;272.2;
464.0;339.2;;;;;;;;;;;;;;0.8825953;-0.02990814;-0.25476852;;;;;272.2;
464.0;339.2;;;;;;;;;;;;;;;;;-19.329662;-8.716849;31.083101;;272.2;
464.0;339.2;;;;;;;;;;;;;;0.8753929;-0.038941618;-0.2451857;;;;;272.2;
464.0;339.2;;;;;;;;;;;;;;;;;-20.088808;-8.518478;31.437881;;281.8;
464.0;339.2;;;;;;;;;;;;;;0.87618643;-0.03875851;-0.23499252;;;;;281.8;
464.0;339.2;;;;;;;;;;;;;;;;;-20.48555;-8.0835905;31.80029;;281.8;
464.0;339.2;;;;;;;;;;;;;;0.8752098;-0.039429914;-0.22962126;;;;;281.8;
464.0;398.4;;;;;;;;;;;;;;;;;-19.917141;-7.7707753;32.101658;;291.5;
464.0;398.4;;;;;;;;;;;;;;0.8761254;-0.03784295;-0.2169866;;;;;291.5;
464.0;398.4;;;;;;;;;;;;;;;;;-19.302958;-8.514664;32.2924;;291.5;
464.0;398.4;;;;;;;;;;;;;;0.88467056;-0.035157323;-0.21857357;;;;;291.5;
464.0;398.4;;;;;;;;;;;;;;;;;-18.753624;-9.12122;32.84936;;301.2;
464.0;398.4;;;;;;;;;;;;;;0.89748836;-0.037354656;-0.22486039;;;;;301.2;
464.0;398.4;;;;;;;;;;;;;;;;;-18.990143;-9.506516;33.185066;;301.2;
464.0;398.4;;;;;;;;;;;;;;0.90609455;-0.04174932;-0.23798333;;;;;301.2;
464.0;398.4;;;;;;;;;;;;;;;;;-18.555254;-9.647664;33.310955;;310.8;
464.0;398.4;;;;;;;;;;;;;;0.91256446;-0.0463271;-0.23352763;;;;;310.8;
464.0;398.4;;;;;;;;;;;;;;;;;-18.223366;-10.654775;33.139286;;310.8;
464.0;398.4;;;;;;;;;;;;;;0.9294107;-0.02313303;-0.22620319;;;;;310.8;
523.0;399.2;;;;;;;;;;;;;;;;;-17.658772;-11.9060335;33.623768;;320.5;
523.0;399.2;;;;;;;;;;;;;;0.9378338;-0.08386487;-0.24897;;;;;320.5;
