patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
306.0;212.8;;;;;;;;;;;;;;;;;;;;17;0.1
306.0;212.8;;;;;;;;;;;;;;;;;12.485885;2.0561848;1.2207403;;127.5
306.0;212.8;;;;;;;;;;;;;;0.80813015;0.43079928;-0.67110205;;;;;127.5
306.0;212.8;;;;;;;;;;;;;;;;;-8.224739;-16.476181;-6.85522;;127.5
306.0;212.8;;;;;;;;;;;;;;0.804651;0.42091128;-0.6928312;;;;;127.5
306.0;212.8;;;;;;;;;;;;;;;;;-72.74468;-85.352646;-66.045876;;137.2
306.0;212.8;;;;;;;;;;;;;;0.8233894;0.3700064;-0.67659533;;;;;137.2
306.0;212.8;;;;;;;;;;;;;;;;;-123.908966;-124.988556;-122.10074;;137.2
306.0;212.8;;;;;;;;;;;;;;0.8429823;0.33606982;-0.6797693;;;;;137.2
367.0;213.5;;;;;;;;;;;;;;;;;-105.76571;-124.988556;-96.70171;;146.8
367.0;213.5;;;;;;;;;;;;;;0.8427992;0.3160497;-0.69429606;;;;;146.8
367.0;213.5;;;;;;;;;;;;;;;;;-110.263374;-124.988556;-76.51753;;146.8
367.0;213.5;;;;;;;;;;;;;;0.8476821;0.30115664;-0.68660545;;;;;146.8
367.0;213.5;;;;;;;;;;;;;;;;;-124.64141;-112.19749;-77.5132;;156.5
367.0;213.5;;;;;;;;;;;;;;0.8636128;0.2811365;-0.67427593;;;;;156.5
367.0;213.5;;;;;;;;;;;;;;;;;-124.988556;-67.957085;-53.941467;;156.5
367.0;213.5;;;;;;;;;;;;;;0.88680685;0.26319164;-0.66170233;;;;;156.5
367.0;213.5;;;;;;;;;;;;;;;;;-124.988556;-66.911835;-47.601246;;166.1
367.0;213.5;;;;;;;;;;;;;;0.9023713;0.2501297;-0.6587725;;;;;166.1
367.0;213.5;;;;;;;;;;;;;;;;;-124.988556;-70.01709;-42.275764;;166.1
367.0;213.5;;;;;;;;;;;;;;0.91317487;0.23358867;-0.6585894;;;;;166.1
367.0;273.6;;;;;;;;;;;;;;;;;-124.988556;-73.885315;-36.111027;;175.7
367.0;273.6;;;;;;;;;;;;;;0.92965484;0.20947905;-0.6697592;;;;;175.7
367.0;273.6;;;;;;;;;;;;;;;;;-124.988556;-76.208534;-30.121769;;175.7
367.0;273.6;;;;;;;;;;;;;;0.9373455;0.18762779;-0.69124424;;;;;175.7
367.0;273.6;;;;;;;;;;;;;;;;;-124.988556;-75.2205;-24.063845;;185.2
367.0;273.6;;;;;;;;;;;;;;0.9317301;0.16510513;-0.69429606;;;;;185.2
367.0;273.6;;;;;;;;;;;;;;;;;-124.988556;-72.75613;-18.753624;;185.2
367.0;273.6;;;;;;;;;;;;;;0.9173864;0.15747552;-0.6837367;;;;;185.2
367.0;273.6;;;;;;;;;;;;;;;;;-124.988556;-71.16153;-13.496811;;194.9
367.0;273.6;;;;;;;;;;;;;;0.8921781;0.14123966;-0.6653035;;;;;194.9
367.0;273.6;;;;;;;;;;;;;;;;;-124.988556;-71.60405;-7.801294;;194.9
367.0;273.6;;;;;;;;;;;;;;0.86556596;0.13385418;-0.6532792;;;;;194.9
431.0;274.2;;;;;;;;;;;;;;;;;-124.988556;-73.81664;-1.7471846;;204.6
431.0;274.2;;;;;;;;;;;;;;0.8503677;0.11279641;-0.6457717;;;;;204.6
431.0;274.2;;;;;;;;;;;;;;;;;-124.988556;-75.59435;3.9368877;;204.6
431.0;274.2;;;;;;;;;;;;;;0.8344981;0.13135166;-0.63637197;;;;;204.6
431.0;274.2;;;;;;;;;;;;;;;;;-124.75204;-71.2302;22.770622;;214.2
431.0;274.2;;;;;;;;;;;;;;1.2262948;-0.50660723;-0.52650535;;;;;214.2
431.0;274.2;;;;;;;;;;;;;;;;;-113.84167;-11.909848;57.607502;;214.2
431.0;274.2;;;;;;;;;;;;;;0.7021699;0.003540147;0.3882565;;;;;214.2
431.0;274.2;;;;;;;;;;;;;;;;;-122.38303;-57.321392;29.721214;;223.9
431.0;274.2;;;;;;;;;;;;;;0.79824215;0.11175878;-0.9666433;;;;;223.9
431.0;274.2;;;;;;;;;;;;;;;;;-122.245705;-59.66369;39.551987;;223.9
431.0;274.2;;;;;;;;;;;;;;1.2339244;-0.8008667;-0.89651173;;;;;223.9
431.0;333.4;;;;;;;;;;;;;;;;;-97.38838;26.30314;64.87854;;233.5
431.0;333.4;;;;;;;;;;;;;;0.57527393;-0.78212833;1.0891446;;;;;233.5
431.0;333.4;;;;;;;;;;;;;;;;;-118.96878;-88.183235;0.34714803;;233.5
431.0;333.4;;;;;;;;;;;;;;0.39558092;0.06701865;0.5230262;;;;;233.5
431.0;333.4;;;;;;;;;;;;;;;;;-124.988556;-124.988556;-27.397991;;243.1
431.0;333.4;;;;;;;;;;;;;;1.0430616;0.73775446;-0.9177526;;;;;243.1
431.0;333.4;;;;;;;;;;;;;;;;;-124.988556;-124.038666;46.254616;;243.1
431.0;333.4;;;;;;;;;;;;;;1.1895505;0.27112645;-1.5297709;;;;;243.1
431.0;333.4;;;;;;;;;;;;;;;;;-124.988556;-96.621605;52.728355;;252.6
431.0;333.4;;;;;;;;;;;;;;1.1665395;0.0966216;-1.8524125;;;;;252.6
431.0;333.4;;;;;;;;;;;;;;;;;-124.988556;-49.64217;35.412914;;252.6
431.0;333.4;;;;;;;;;;;;;;1.0160832;0.012573626;-1.9763176;;;;;252.6
492.0;334.2;;;;;;;;;;;;;;;;;-124.988556;2.094333;27.294992;;262.3
492.0;334.2;;;;;;;;;;;;;;0.9582202;-0.118717;-1.2641377;;;;;262.3
492.0;334.2;;;;;;;;;;;;;;;;;-124.988556;27.04703;20.386364;;262.3
492.0;334.2;;;;;;;;;;;;;;0.84414196;-0.25147253;-0.39362773;;;;;262.3
492.0;334.2;;;;;;;;;;;;;;;;;-124.176;21.473587;26.249733;;271.9
492.0;334.2;;;;;;;;;;;;;;0.6388745;-0.18420972;0.4062624;;;;;271.9
492.0;334.2;;;;;;;;;;;;;;;;;-115.112;-10.418256;39.361244;;271.9
492.0;334.2;;;;;;;;;;;;;;0.53761405;-0.049867246;0.56788844;;;;;271.9
492.0;334.2;;;;;;;;;;;;;;;;;-115.4706;-42.439804;55.059204;;281.6
492.0;334.2;;;;;;;;;;;;;;0.59596545;-0.15936765;0.017517624;;;;;281.6
492.0;334.2;;;;;;;;;;;;;;;;;-102.988525;-31.85751;63.8142;;281.6
492.0;334.2;;;;;;;;;;;;;;0.5735649;-0.27820674;-0.08081301;;;;;281.6
492.0;393.8;;;;;;;;;;;;;;;;;-87.05024;-14.328441;65.382095;;291.3
492.0;393.8;;;;;;;;;;;;;;0.4125492;-0.25287637;0.14703818;;;;;291.3
492.0;393.8;;;;;;;;;;;;;;;;;-84.98642;-29.499954;72.42424;;291.3
492.0;393.8;;;;;;;;;;;;;;0.29963073;-0.29224524;0.15155491;;;;;291.3
492.0;393.8;;;;;;;;;;;;;;;;;-88.53801;-54.658653;79.596085;;300.8
492.0;393.8;;;;;;;;;;;;;;0.34382153;-0.32801294;0.0024414808;;;;;300.8
