patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
306.0;215.2;;;;;;;;;;;;;;;;;;;;17;0.1
306.0;215.2;;;;;;;;;;;;;;;;;13.412886;0.94225895;0.9155553;;127.7
306.0;215.2;;;;;;;;;;;;;;-0.9462569;-0.07562487;-0.2146672;;;;;127.7
306.0;215.2;;;;;;;;;;;;;;;;;-5.8862576;-17.162846;-7.4808497;;127.7
306.0;215.2;;;;;;;;;;;;;;-0.9797052;-0.08032472;-0.22296824;;;;;127.7
306.0;215.2;;;;;;;;;;;;;;;;;-63.64254;-84.57442;-62.170017;;137.4
306.0;215.2;;;;;;;;;;;;;;-0.97848445;-0.07757805;-0.22431104;;;;;137.4
306.0;215.2;;;;;;;;;;;;;;;;;-122.17322;-124.988556;-120.20477;;137.4
306.0;215.2;;;;;;;;;;;;;;-0.9797052;-0.07446516;-0.22119816;;;;;137.4
365.0;216.0;;;;;;;;;;;;;;;;;-53.36543;-124.702446;-78.367714;;147.1
365.0;216.0;;;;;;;;;;;;;;-0.9774468;-0.06689657;-0.21967223;;;;;147.1
365.0;216.0;;;;;;;;;;;;;;;;;21.778772;-124.59563;-31.79647;;147.1
365.0;216.0;;;;;;;;;;;;;;-0.9784234;-0.059938353;-0.21662039;;;;;147.1
365.0;216.0;;;;;;;;;;;;;;;;;21.740623;-94.89731;-24.0524;;156.8
365.0;216.0;;;;;;;;;;;;;;-0.9775689;-0.052797023;-0.21375164;;;;;156.8
365.0;216.0;;;;;;;;;;;;;;;;;16.628773;-2.6894438;0.6447035;;156.8
365.0;216.0;;;;;;;;;;;;;;-0.97579885;-0.045411542;-0.21308023;;;;;156.8
365.0;216.0;;;;;;;;;;;;;;;;;16.586811;5.0012207;2.66274;;166.3
365.0;216.0;;;;;;;;;;;;;;-0.9769585;-0.037965026;-0.21124913;;;;;166.3
365.0;216.0;;;;;;;;;;;;;;;;;17.033142;5.272073;2.8801844;;166.3
365.0;216.0;;;;;;;;;;;;;;-0.9772637;-0.034485918;-0.21192053;;;;;166.3
365.0;275.6;;;;;;;;;;;;;;;;;17.345957;5.3788877;3.3455918;;175.9
365.0;275.6;;;;;;;;;;;;;;-0.97683644;-0.029969176;-0.21240883;;;;;175.9
365.0;275.6;;;;;;;;;;;;;;;;;17.521439;5.2529984;3.318888;;175.9
365.0;275.6;;;;;;;;;;;;;;-0.9768975;-0.02826014;-0.21472824;;;;;175.9
365.0;275.6;;;;;;;;;;;;;;;;;17.38792;5.4170356;3.3989992;;185.6
365.0;275.6;;;;;;;;;;;;;;-0.9778741;-0.0270394;-0.21594897;;;;;185.6
365.0;275.6;;;;;;;;;;;;;;;;;17.319254;5.6001463;3.5554063;;185.6
365.0;275.6;;;;;;;;;;;;;;-0.9794;-0.024658956;-0.21814631;;;;;185.6
365.0;275.6;;;;;;;;;;;;;;;;;16.930143;5.2491837;3.4409618;;195.3
365.0;275.6;;;;;;;;;;;;;;-0.9781793;-0.018494217;-0.21637623;;;;;195.3
365.0;275.6;;;;;;;;;;;;;;;;;16.548662;4.844814;3.47911;;195.3
365.0;275.6;;;;;;;;;;;;;;-0.9779962;-0.016357921;-0.2141789;;;;;195.3
429.0;276.4;;;;;;;;;;;;;;;;;16.365551;4.711295;3.47911;;204.9
429.0;276.4;;;;;;;;;;;;;;-0.9742119;-0.014221625;-0.21320231;;;;;204.9
429.0;276.4;;;;;;;;;;;;;;;;;16.090885;4.589221;3.2883694;;204.9
429.0;276.4;;;;;;;;;;;;;;-0.97286904;-0.01147496;-0.21240883;;;;;204.9
429.0;276.4;;;;;;;;;;;;;;;;;15.884884;4.650258;3.3150733;;214.6
429.0;276.4;;;;;;;;;;;;;;-0.9733573;-0.010986663;-0.21167639;;;;;214.6
429.0;276.4;;;;;;;;;;;;;;;;;15.709402;4.6464434;3.2731102;;214.6
429.0;276.4;;;;;;;;;;;;;;-0.97341835;-0.012207404;-0.21222572;;;;;214.6
429.0;276.4;;;;;;;;;;;;;;;;;15.552996;4.6006656;3.215888;;224.2
429.0;276.4;;;;;;;;;;;;;;-0.9734794;-0.01556444;-0.21350749;;;;;224.2
429.0;276.4;;;;;;;;;;;;;;;;;15.385143;4.5739617;3.276925;;224.2
429.0;276.4;;;;;;;;;;;;;;-0.9769585;-0.01782281;-0.21680349;;;;;224.2
429.0;336.3;;;;;;;;;;;;;;;;;15.293588;4.776147;3.2731102;;233.9
429.0;336.3;;;;;;;;;;;;;;-0.9807428;-0.02026429;-0.2174749;;;;;233.9
429.0;336.3;;;;;;;;;;;;;;;;;15.167699;4.642628;3.2502213;;233.9
429.0;336.3;;;;;;;;;;;;;;-0.98550373;-0.022400586;-0.2207709;;;;;233.9
429.0;336.3;;;;;;;;;;;;;;;;;14.9616995;4.696036;3.3417768;;243.4
429.0;336.3;;;;;;;;;;;;;;-0.9897763;-0.025269326;-0.2230903;;;;;243.4
429.0;336.3;;;;;;;;;;;;;;;;;14.770959;4.566332;3.318888;;243.4
429.0;336.3;;;;;;;;;;;;;;-0.99282813;-0.025147252;-0.22431104;;;;;243.4
429.0;336.3;;;;;;;;;;;;;;;;;14.526811;4.482406;3.3150733;;252.9
429.0;336.3;;;;;;;;;;;;;;-0.99417096;-0.026917325;-0.22547075;;;;;252.9
429.0;336.3;;;;;;;;;;;;;;;;;14.446699;4.5243692;3.3722954;;252.9
429.0;336.3;;;;;;;;;;;;;;-0.99563587;-0.025940733;-0.22595905;;;;;252.9
489.0;337.1;;;;;;;;;;;;;;;;;14.515367;4.676962;3.379925;;262.6
489.0;337.1;;;;;;;;;;;;;;-0.9972839;-0.025086215;-0.22620319;;;;;262.6
489.0;337.1;;;;;;;;;;;;;;;;;14.4047365;4.8409986;3.3722954;;262.6
489.0;337.1;;;;;;;;;;;;;;-0.99826044;-0.02313303;-0.22437209;;;;;262.6
489.0;337.1;;;;;;;;;;;;;;;;;14.267404;4.8142953;3.4638507;;272.3
489.0;337.1;;;;;;;;;;;;;;-1.0003357;-0.020935697;-0.2245552;;;;;272.3
489.0;337.1;;;;;;;;;;;;;;;;;14.000366;4.650258;3.3379622;;272.3
489.0;337.1;;;;;;;;;;;;;;-0.99899286;-0.018494217;-0.22272408;;;;;272.3
489.0;337.1;;;;;;;;;;;;;;;;;13.82107;4.5930357;3.299814;;282.0
489.0;337.1;;;;;;;;;;;;;;-0.9953917;-0.015076144;-0.22174749;;;;;282.0
489.0;337.1;;;;;;;;;;;;;;;;;13.595997;4.352702;3.1777399;;282.0
489.0;337.1;;;;;;;;;;;;;;-0.9907529;-0.012878811;-0.2197943;;;;;282.0
489.0;396.3;;;;;;;;;;;;;;;;;13.260293;4.222999;2.9984436;;291.5
489.0;396.3;;;;;;;;;;;;;;-0.9844661;-0.0110477;-0.21802424;;;;;291.5
489.0;396.3;;;;;;;;;;;;;;;;;12.863552;4.1085544;2.8420362;;291.5
489.0;396.3;;;;;;;;;;;;;;-0.9797052;-0.010864589;-0.21643727;;;;;291.5
489.0;396.3;;;;;;;;;;;;;;;;;12.474441;4.2420726;2.6093326;;301.2
489.0;396.3;;;;;;;;;;;;;;-0.9778741;-0.011169774;-0.21973327;;;;;301.2
489.0;396.3;;;;;;;;;;;;;;;;;12.039553;4.4366283;2.437666;;301.2
489.0;396.3;;;;;;;;;;;;;;-0.97762996;-0.0126957;-0.2200995;;;;;301.2
489.0;396.3;;;;;;;;;;;;;;;;;11.577959;4.486221;2.3308513;;310.8
489.0;396.3;;;;;;;;;;;;;;-0.9809259;-0.013672292;-0.22180852;;;;;310.8
489.0;396.3;;;;;;;;;;;;;;;;;11.028626;4.463332;2.277444;;310.8
489.0;396.3;;;;;;;;;;;;;;-0.9818415;-0.014709922;-0.22461623;;;;;310.8
548.0;397.1;;;;;;;;;;;;;;;;;10.513627;4.3565173;2.25074;;320.4
548.0;397.1;;;;;;;;;;;;;;-0.9838557;-0.015137181;-0.22510453;;;;;320.4
548.0;397.1;;;;;;;;;;;;;;;;;10.059664;4.291665;2.1553698;;320.4
548.0;397.1;;;;;;;;;;;;;;-0.98525953;-0.015503403;-0.22492142;;;;;320.4
548.0;397.1;;;;;;;;;;;;;;;;;9.533219;4.2115545;2.1057773;;330.1
548.0;397.1;;;;;;;;;;;;;;-0.985931;-0.014221625;-0.22394483;;;;;330.1
548.0;397.1;;;;;;;;;;;;;;;;;9.044923;4.2611465;2.0409255;;330.1
548.0;397.1;;;;;;;;;;;;;;-0.98800623;-0.014709922;-0.22132023;;;;;330.1
548.0;397.1;;;;;;;;;;;;;;;;;8.610034;4.203925;1.8692588;;339.7
548.0;397.1;;;;;;;;;;;;;;-0.98922694;-0.016479995;-0.22046572;;;;;339.7
548.0;397.1;;;;;;;;;;;;;;;;;8.098849;4.20011;1.8082217;;339.7
548.0;397.1;;;;;;;;;;;;;;-0.98904383;-0.01739555;-0.2158269;;;;;339.7
548.0;457.1;;;;;;;;;;;;;;;;;7.5189977;4.0856657;1.678518;;349.4
548.0;457.1;;;;;;;;;;;;;;-0.985931;-0.018189032;-0.21411787;;;;;349.4
548.0;457.1;;;;;;;;;;;;;;;;;7.0307016;4.032258;1.4687033;;349.4
548.0;457.1;;;;;;;;;;;;;;-0.98586994;-0.022766808;-0.2120426;;;;;349.4
548.0;457.1;;;;;;;;;;;;;;;;;6.725517;4.1238136;1.3504441;;358.9
548.0;457.1;;;;;;;;;;;;;;-0.98532057;-0.023804437;-0.21057771;;;;;358.9
548.0;457.1;;;;;;;;;;;;;;;;;6.34785;4.20011;1.2741477;;358.9
548.0;457.1;;;;;;;;;;;;;;-0.9844661;-0.027161473;-0.21179846;;;;;358.9
548.0;457.1;;;;;;;;;;;;;;;;;6.069369;4.036073;1.1558886;;368.5
548.0;457.1;;;;;;;;;;;;;;-0.98477125;-0.02783288;-0.21192053;;;;;368.5
548.0;457.1;;;;;;;;;;;;;;;;;5.897702;3.913999;1.0948515;;368.5
548.0;457.1;;;;;;;;;;;;;;-0.9839778;-0.028992584;-0.21393475;;;;;368.5
610.0;457.9;;;;;;;;;;;;;;;;;5.760369;4.020814;0.92699975;;378.2
610.0;457.9;;;;;;;;;;;;;;-0.9836116;-0.030396435;-0.21753594;;;;;378.2
610.0;457.9;;;;;;;;;;;;;;;;;5.649739;4.1848507;0.7095553;;378.2
610.0;457.9;;;;;;;;;;;;;;-0.9882504;-0.029725028;-0.22119816;;;;;378.2
610.0;457.9;;;;;;;;;;;;;;;;;5.6154056;4.119999;0.7286294;;387.9
610.0;457.9;;;;;;;;;;;;;;-0.98837245;-0.028382214;-0.22638631;;;;;387.9
610.0;457.9;;;;;;;;;;;;;;;;;5.3750725;4.036073;0.5798517;;387.9
610.0;457.9;;;;;;;;;;;;;;-0.9862972;-0.025818659;-0.22827846;;;;;387.9
610.0;457.9;;;;;;;;;;;;;;;;;5.0279245;3.9559617;0.46540728;;397.6
610.0;457.9;;;;;;;;;;;;;;-0.98660237;-0.020813623;-0.22907193;;;;;397.6
610.0;457.9;;;;;;;;;;;;;;;;;4.4557023;3.8644063;0.34333324;;397.6
610.0;457.9;;;;;;;;;;;;;;-0.98672444;-0.018921476;-0.23084201;;;;;397.6
610.0;517.0;;;;;;;;;;;;;;;;;3.784295;3.9407024;0.20218512;;407.2
610.0;517.0;;;;;;;;;;;;;;-0.98294014;-0.01678518;-0.23377179;;;;;407.2
610.0;517.0;;;;;;;;;;;;;;;;;3.2616658;3.9788508;0.011444441;;407.2
610.0;517.0;;;;;;;;;;;;;;-0.98330635;-0.01904355;-0.23596911;;;;;407.2
610.0;517.0;;;;;;;;;;;;;;;;;2.723777;3.9788508;-0.20218512;;416.9
610.0;517.0;;;;;;;;;;;;;;-0.9823298;-0.021790216;-0.23834956;;;;;416.9
610.0;517.0;;;;;;;;;;;;;;;;;2.3194067;3.89111;-0.4158147;;416.9
610.0;517.0;;;;;;;;;;;;;;-0.9804987;-0.027344584;-0.24195075;;;;;416.9
610.0;517.0;;;;;;;;;;;;;;;;;2.0180366;3.8834803;-0.45396283;;426.5
610.0;517.0;;;;;;;;;;;;;;-0.9800714;-0.033265177;-0.24481948;;;;;426.5
610.0;517.0;;;;;;;;;;;;;;;;;2.0142217;3.9635916;-0.5035554;;426.5
610.0;517.0;;;;;;;;;;;;;;-0.9812311;-0.038392287;-0.24561296;;;;;426.5
669.0;517.8;;;;;;;;;;;;;;;;;2.1210363;3.9674063;-0.5264443;;436.0
669.0;517.8;;;;;;;;;;;;;;-0.9805597;-0.041505173;-0.24579607;;;;;436.0
669.0;517.8;;;;;;;;;;;;;;;;;2.399518;3.8605914;-0.553148;;436.0
669.0;517.8;;;;;;;;;;;;;;-0.97811824;-0.044007692;-0.24304941;;;;;436.0
669.0;517.8;;;;;;;;;;;;;;;;;2.8954437;3.8033693;-0.62944424;;445.7
669.0;517.8;;;;;;;;;;;;;;-0.9774468;-0.046815395;-0.24341564;;;;;445.7
669.0;517.8;;;;;;;;;;;;;;;;;3.4218879;3.9635916;-0.5188147;;445.7
669.0;517.8;;;;;;;;;;;;;;-0.97653127;-0.04998932;-0.244026;;;;;445.7
