patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
279.0;219.2;;;;;;;;;;;;;;;;;;;;17;0.1
279.0;219.2;;;;;;;;;;;;;;;;;13.512071;0.35859248;0.2822962;;127.5
279.0;219.2;;;;;;;;;;;;;;0.7411725;0.27307963;-0.11651967;;;;;127.5
279.0;219.2;;;;;;;;;;;;;;;;;-4.9211097;-18.00592;-6.172369;;127.5
279.0;219.2;;;;;;;;;;;;;;0.7663808;0.26770836;-0.12848292;;;;;127.5
279.0;219.2;;;;;;;;;;;;;;;;;-64.5848;-84.83001;-56.398205;;137.2
279.0;219.2;;;;;;;;;;;;;;0.7662587;0.24982452;-0.146733;;;;;137.2
279.0;219.2;;;;;;;;;;;;;;;;;-122.39448;-124.988556;-116.66845;;137.2
279.0;219.2;;;;;;;;;;;;;;0.77535325;0.23554185;-0.18127994;;;;;137.2
337.0;220.4;;;;;;;;;;;;;;;;;-66.00391;-124.988556;-58.744316;;146.9
337.0;220.4;;;;;;;;;;;;;;0.78127384;0.21643727;-0.2200995;;;;;146.9
337.0;220.4;;;;;;;;;;;;;;;;;-10.620441;-124.988556;15.758995;;146.9
337.0;220.4;;;;;;;;;;;;;;0.7939696;0.1988586;-0.2563555;;;;;146.9
337.0;220.4;;;;;;;;;;;;;;;;;-17.872402;-105.22019;35.073395;;156.6
337.0;220.4;;;;;;;;;;;;;;0.7995239;0.16876736;-0.27027193;;;;;156.6
337.0;220.4;;;;;;;;;;;;;;;;;-23.636585;-36.538284;63.367874;;156.6
337.0;220.4;;;;;;;;;;;;;;0.80721456;0.13336588;-0.25568408;;;;;156.6
337.0;220.4;;;;;;;;;;;;;;;;;-20.512253;-29.793695;63.62728;;166.2
337.0;220.4;;;;;;;;;;;;;;0.8138676;0.10571612;-0.23242897;;;;;166.2
337.0;220.4;;;;;;;;;;;;;;;;;-16.357922;-29.248177;61.544388;;166.2
337.0;220.4;;;;;;;;;;;;;;0.826075;0.08990753;-0.21796319;;;;;166.2
337.0;279.3;;;;;;;;;;;;;;;;;-12.062441;-28.279213;59.583576;;175.7
337.0;279.3;;;;;;;;;;;;;;0.83999145;0.07757805;-0.2038026;;;;;175.7
337.0;279.3;;;;;;;;;;;;;;;;;-7.6792197;-27.001251;57.100132;;175.7
337.0;279.3;;;;;;;;;;;;;;0.8512833;0.07940916;-0.18390454;;;;;175.7
337.0;279.3;;;;;;;;;;;;;;;;;-3.7575915;-25.849178;54.74639;;185.3
337.0;279.3;;;;;;;;;;;;;;0.8708762;0.090701014;-0.17450483;;;;;185.3
337.0;279.3;;;;;;;;;;;;;;;;;-0.13733329;-24.132511;52.797024;;185.3
337.0;279.3;;;;;;;;;;;;;;0.88827175;0.10736412;-0.16589862;;;;;185.3
337.0;279.3;;;;;;;;;;;;;;;;;3.0175178;-22.70577;50.74465;;195.0
337.0;279.3;;;;;;;;;;;;;;0.9043245;0.12683493;-0.16461684;;;;;195.0
337.0;279.3;;;;;;;;;;;;;;;;;5.794702;-21.065401;49.058506;;195.0
337.0;279.3;;;;;;;;;;;;;;0.9162267;0.15143284;-0.16870633;;;;;195.0
