patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
267.0;217.9;;;;;;;;;;;;;;;;;;;;17;0.1
267.0;217.9;;;;;;;;;;;;;;;;;13.775291;1.2131108;1.1482589;;127.5
267.0;217.9;;;;;;;;;;;;;;0.9275796;0.34174627;0.073549606;;;;;127.5
267.0;217.9;;;;;;;;;;;;;;;;;-6.0731835;-17.120884;-9.075441;;127.5
267.0;217.9;;;;;;;;;;;;;;0.96102786;0.3546861;0.06555376;;;;;127.5
267.0;217.9;;;;;;;;;;;;;;;;;-67.140724;-84.58205;-66.167946;;137.1
267.0;217.9;;;;;;;;;;;;;;0.9508347;0.35676137;0.055543687;;;;;137.1
267.0;217.9;;;;;;;;;;;;;;;;;-122.85607;-124.988556;-122.17322;;137.1
267.0;217.9;;;;;;;;;;;;;;0.95577866;0.3812372;0.036194954;;;;;137.1
328.0;218.8;;;;;;;;;;;;;;;;;-71.26835;-124.83596;-96.736046;;146.8
328.0;218.8;;;;;;;;;;;;;;0.95638907;0.38819546;0.017090365;;;;;146.8
328.0;218.8;;;;;;;;;;;;;;;;;-25.7004;-124.8207;-78.39823;;146.8
328.0;218.8;;;;;;;;;;;;;;0.9552904;0.40021974;0.0145878475;;;;;146.8
328.0;218.8;;;;;;;;;;;;;;;;;-39.883877;-94.31364;-82.632675;;156.4
328.0;218.8;;;;;;;;;;;;;;0.9589526;0.41737112;0.0145268105;;;;;156.4
328.0;218.8;;;;;;;;;;;;;;;;;-51.6068;0.85833305;-63.43654;;156.4
328.0;218.8;;;;;;;;;;;;;;0.9594409;0.4346446;0.01660207;;;;;156.4
328.0;218.8;;;;;;;;;;;;;;;;;-53.30058;11.482589;-61.967834;;166.0
328.0;218.8;;;;;;;;;;;;;;0.9615772;0.4491104;0.01843318;;;;;166.0
328.0;218.8;;;;;;;;;;;;;;;;;-53.50276;13.977477;-62.391277;;166.0
328.0;218.8;;;;;;;;;;;;;;0.9600513;0.45295572;0.010376293;;;;;166.0
328.0;278.1;;;;;;;;;;;;;;;;;-53.533283;16.037477;-62.33787;;175.6
328.0;278.1;;;;;;;;;;;;;;0.95492417;0.44770652;0.006164739;;;;;175.6
328.0;278.1;;;;;;;;;;;;;;;;;-54.509876;17.200994;-62.658318;;175.6
328.0;278.1;;;;;;;;;;;;;;0.953032;0.44386122;-0.0072634052;;;;;175.6
328.0;278.1;;;;;;;;;;;;;;;;;-55.56276;18.715477;-62.9635;;185.3
328.0;278.1;;;;;;;;;;;;;;0.94985807;0.43671986;-0.021057772;;;;;185.3
328.0;278.1;;;;;;;;;;;;;;;;;-57.161167;21.206549;-62.356945;;185.3
328.0;278.1;;;;;;;;;;;;;;0.9490646;0.4306772;-0.02600177;;;;;185.3
328.0;278.1;;;;;;;;;;;;;;;;;-58.69854;25.06714;-61.597797;;195.0
328.0;278.1;;;;;;;;;;;;;;0.9392987;0.4318369;-0.006164739;;;;;195.0
328.0;278.1;;;;;;;;;;;;;;;;;-59.5378;27.249214;-60.61739;;195.0
328.0;278.1;;;;;;;;;;;;;;0.92031616;0.40668964;0.03051851;;;;;195.0
391.0;278.9;;;;;;;;;;;;;;;;;-60.47624;26.81814;-59.480576;;204.5
391.0;278.9;;;;;;;;;;;;;;0.90591145;0.38496047;0.048036136;;;;;204.5
391.0;278.9;;;;;;;;;;;;;;;;;-60.869167;25.757622;-59.049503;;204.5
391.0;278.9;;;;;;;;;;;;;;0.89388716;0.3844722;0.06372265;;;;;204.5
391.0;278.9;;;;;;;;;;;;;;;;;-62.948242;25.048065;-58.996094;;214.2
391.0;278.9;;;;;;;;;;;;;;0.87636954;0.39838862;0.07824946;;;;;214.2
391.0;278.9;;;;;;;;;;;;;;;;;-64.98535;23.205511;-57.939392;;214.2
391.0;278.9;;;;;;;;;;;;;;0.85659355;0.39417708;0.083254494;;;;;214.2
