patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
308.0;213.5;;;;;;;;;;;;;;;;;;;;17;0.1
308.0;213.5;;;;;;;;;;;;;;;;;13.3785515;-0.27085176;0.8087405;;127.6
308.0;213.5;;;;;;;;;;;;;;-0.87923825;-0.2692343;-0.3111057;;;;;127.6
308.0;213.5;;;;;;;;;;;;;;;;;-5.4361095;-17.399364;-7.5914793;;127.6
308.0;213.5;;;;;;;;;;;;;;-0.9087191;-0.2684408;-0.32087162;;;;;127.6
308.0;213.5;;;;;;;;;;;;;;;;;-64.42839;-84.75753;-61.63976;;137.2
308.0;213.5;;;;;;;;;;;;;;-0.9169591;-0.25098422;-0.31592762;;;;;137.2
308.0;213.5;;;;;;;;;;;;;;;;;-122.360146;-124.988556;-120.09415;;137.2
308.0;213.5;;;;;;;;;;;;;;-0.92446667;-0.22699668;-0.30640584;;;;;137.2
376.0;214.3;;;;;;;;;;;;;;;;;-57.832577;-124.87411;-77.39113;;146.9
376.0;214.3;;;;;;;;;;;;;;-0.93325603;-0.20990631;-0.30036318;;;;;146.9
376.0;214.3;;;;;;;;;;;;;;;;;10.4831085;-124.96948;-29.766993;;146.9
376.0;214.3;;;;;;;;;;;;;;-0.9396649;-0.1894589;-0.28504288;;;;;146.9
376.0;214.3;;;;;;;;;;;;;;;;;7.927183;-98.44127;-21.439253;;156.6
376.0;214.3;;;;;;;;;;;;;;-0.94784385;-0.17432173;-0.2783288;;;;;156.6
376.0;214.3;;;;;;;;;;;;;;;;;1.8044069;-10.071108;3.707999;;156.6
