patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
273.0;219.1;;;;;;;;;;;;;;;;;;;;17;0.1
273.0;219.1;;;;;;;;;;;;;;;;;13.779107;0.6447035;1.1139256;;127.5
273.0;219.1;;;;;;;;;;;;;;0.44264045;-0.59810174;0.041444138;;;;;127.5
273.0;219.1;;;;;;;;;;;;;;;;;-5.0660725;-17.319254;-7.309183;;127.5
273.0;219.1;;;;;;;;;;;;;;0.40021974;-0.59566027;0.04687643;;;;;127.5
273.0;219.1;;;;;;;;;;;;;;;;;-65.52324;-84.547714;-59.736168;;137.1
273.0;219.1;;;;;;;;;;;;;;0.3645741;-0.5990173;0.026673177;;;;;137.1
273.0;219.1;;;;;;;;;;;;;;;;;-122.52037;-124.988556;-118.842896;;137.1
273.0;219.1;;;;;;;;;;;;;;0.30066836;-0.5882748;-0.0022583697;;;;;137.1
334.0;220.0;;;;;;;;;;;;;;;;;-67.1598;-124.988556;-65.70254;;146.7
334.0;220.0;;;;;;;;;;;;;;0.26038393;-0.59511095;-0.021362957;;;;;146.7
334.0;220.0;;;;;;;;;;;;;;;;;-16.785181;-124.988556;2.7008882;;146.7
334.0;220.0;;;;;;;;;;;;;;0.2146672;-0.6056093;-0.047669914;;;;;146.7
334.0;220.0;;;;;;;;;;;;;;;;;-30.476545;-101.687675;23.998993;;156.4
334.0;220.0;;;;;;;;;;;;;;0.1820124;-0.61329997;-0.08832057;;;;;156.4
334.0;220.0;;;;;;;;;;;;;;;;;-41.71499;-25.097658;56.810204;;156.4
