patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
377.0;348.2;;;;;;;;;;;;;;;;;;;;17;0.1
377.0;348.2;;;;;;;;;;;;;;;;;13.962218;0.42725915;0.88122195;;127.6
377.0;348.2;;;;;;;;;;;;;;0.8294321;0.6324656;-0.12909329;;;;;127.6
377.0;348.2;;;;;;;;;;;;;;;;;-5.630665;-17.700735;-8.259072;;127.6
377.0;348.2;;;;;;;;;;;;;;0.8504898;0.639729;-0.1657155;;;;;127.6
377.0;348.2;;;;;;;;;;;;;;;;;-64.7412;-84.77279;-61.0065;;137.1
377.0;348.2;;;;;;;;;;;;;;0.83785516;0.6042054;-0.2283395;;;;;137.1
377.0;348.2;;;;;;;;;;;;;;;;;-122.375404;-124.988556;-119.64019;;137.1
377.0;348.2;;;;;;;;;;;;;;0.8379162;0.57368696;-0.32050538;;;;;137.1
383.0;349.8;;;;;;;;;;;;;;;;;-63.56624;-124.95422;-76.59765;;146.8
383.0;349.8;;;;;;;;;;;;;;0.84664446;0.5566576;-0.42493972;;;;;146.8
383.0;349.8;;;;;;;;;;;;;;;;;-5.9511094;-124.988556;-29.744102;;146.8
383.0;349.8;;;;;;;;;;;;;;0.8625752;0.55763423;-0.5175329;;;;;146.8
383.0;349.8;;;;;;;;;;;;;;;;;-12.569811;-98.78842;-25.597399;;156.5
383.0;349.8;;;;;;;;;;;;;;0.88576925;0.5710013;-0.5868709;;;;;156.5
383.0;349.8;;;;;;;;;;;;;;;;;-16.773737;-11.822107;-4.6464434;;156.5
383.0;349.8;;;;;;;;;;;;;;0.92818993;0.5800958;-0.6161687;;;;;156.5
383.0;349.8;;;;;;;;;;;;;;;;;-12.524033;-4.4709616;-6.5691094;;166.0
383.0;349.8;;;;;;;;;;;;;;0.96530044;0.58265936;-0.5984069;;;;;166.0
383.0;349.8;;;;;;;;;;;;;;;;;-7.328257;-4.1123695;-10.464034;;166.0
383.0;349.8;;;;;;;;;;;;;;0.98733485;0.56880397;-0.55653554;;;;;166.0
383.0;350.7;;;;;;;;;;;;;;;;;-2.6818142;-2.2469254;-12.48207;;175.6
383.0;350.7;;;;;;;;;;;;;;1.0158391;0.5518357;-0.50038147;;;;;175.6
383.0;350.7;;;;;;;;;;;;;;;;;1.8311106;0.79729605;-16.0947;;175.6
383.0;350.7;;;;;;;;;;;;;;1.0176703;0.5595263;-0.46040222;;;;;175.6
383.0;350.7;;;;;;;;;;;;;;;;;5.7412944;4.4442577;-20.577105;;185.3
383.0;350.7;;;;;;;;;;;;;;1.0105289;0.60463274;-0.42316964;;;;;185.3
383.0;350.7;;;;;;;;;;;;;;;;;6.714072;9.163182;-24.864954;;185.3
383.0;350.7;;;;;;;;;;;;;;0.99417096;0.63472396;-0.38038272;;;;;185.3
383.0;350.7;;;;;;;;;;;;;;;;;5.9701834;15.614033;-31.170843;;194.9
383.0;350.7;;;;;;;;;;;;;;0.9704886;0.67415386;-0.32605976;;;;;194.9
383.0;350.7;;;;;;;;;;;;;;;;;4.116184;23.968475;-39.262062;;194.9
383.0;350.7;;;;;;;;;;;;;;0.93111974;0.70796835;-0.25580615;;;;;194.9
441.0;351.5;;;;;;;;;;;;;;;;;3.1929991;32.6281;-50.145725;;204.5
441.0;351.5;;;;;;;;;;;;;;0.88253427;0.74544513;-0.1871395;;;;;204.5
441.0;351.5;;;;;;;;;;;;;;;;;3.627888;41.173283;-61.883907;;204.5
441.0;351.5;;;;;;;;;;;;;;0.83602405;0.7925657;-0.12384411;;;;;204.5
441.0;351.5;;;;;;;;;;;;;;;;;1.2932218;49.687946;-75.09843;;214.1
441.0;351.5;;;;;;;;;;;;;;0.8061159;0.8417615;-0.110415965;;;;;214.1
441.0;351.5;;;;;;;;;;;;;;;;;0.6714072;55.59709;-91.06723;;214.1
441.0;351.5;;;;;;;;;;;;;;0.80361336;0.92226934;-0.14111759;;;;;214.1
441.0;351.5;;;;;;;;;;;;;;;;;-0.5798517;55.242317;-102.160706;;223.8
441.0;351.5;;;;;;;;;;;;;;0.8315073;1.0253608;-0.20105594;;;;;223.8
441.0;351.5;;;;;;;;;;;;;;;;;-11.566515;54.81124;-103.57219;;223.8
441.0;351.5;;;;;;;;;;;;;;0.77803886;1.029023;-0.21619312;;;;;223.8
441.0;408.3;;;;;;;;;;;;;;;;;-27.005066;58.069096;-109.83993;;233.5
441.0;408.3;;;;;;;;;;;;;;0.7202979;1.0198675;-0.20307016;;;;;233.5
441.0;408.3;;;;;;;;;;;;;;;;;-25.963621;61.73513;-118.56823;;233.5
441.0;408.3;;;;;;;;;;;;;;0.6654256;0.9868465;-0.156621;;;;;233.5
441.0;408.3;;;;;;;;;;;;;;;;;-20.569475;63.596756;-124.67193;;243.2
441.0;408.3;;;;;;;;;;;;;;0.6590777;1.0276803;-0.11792352;;;;;243.2
441.0;408.3;;;;;;;;;;;;;;;;;-22.770622;59.29365;-124.988556;;243.2
441.0;408.3;;;;;;;;;;;;;;0.6952727;1.0862148;-0.11560412;;;;;243.2
441.0;408.3;;;;;;;;;;;;;;;;;-31.170843;57.58843;-124.988556;;252.9
441.0;408.3;;;;;;;;;;;;;;0.7464217;1.1341288;-0.11304056;;;;;252.9
441.0;408.3;;;;;;;;;;;;;;;;;-37.549213;60.62502;-124.988556;;252.9
441.0;408.3;;;;;;;;;;;;;;0.81136507;1.1719718;-0.04895169;;;;;252.9
443.0;409.6;;;;;;;;;;;;;;;;;-46.456802;63.4785;-124.988556;;262.5
443.0;409.6;;;;;;;;;;;;;;0.87185276;1.213538;0.055177465;;;;;262.5
443.0;409.6;;;;;;;;;;;;;;;;;-55.257576;61.025574;-124.988556;;262.5
443.0;409.6;;;;;;;;;;;;;;0.9082919;1.1397443;0.16016114;;;;;262.5
443.0;409.6;;;;;;;;;;;;;;;;;-59.0228;52.491837;-124.988556;;272.1
443.0;409.6;;;;;;;;;;;;;;0.9218421;0.8743553;0.19397564;;;;;272.1
443.0;409.6;;;;;;;;;;;;;;;;;-66.633354;49.07758;-124.988556;;272.1
443.0;409.6;;;;;;;;;;;;;;1.0220039;0.78975797;0.09363079;;;;;272.1
443.0;409.6;;;;;;;;;;;;;;;;;-70.77242;49.161507;-124.988556;;281.8
443.0;409.6;;;;;;;;;;;;;;1.112827;0.70961636;0.003234962;;;;;281.8
443.0;409.6;;;;;;;;;;;;;;;;;-75.42268;48.802914;-124.988556;;281.8
443.0;409.6;;;;;;;;;;;;;;1.2231208;0.66585284;-0.09820856;;;;;281.8
443.0;410.4;;;;;;;;;;;;;;;;;-85.1085;50.729393;-124.988556;;291.5
