patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
277.0;212.8;;;;;;;;;;;;;;;;;;;;17;0.1
277.0;212.8;;;;;;;;;;;;;;;;;13.264108;0.5874813;1.1597034;;127.6
277.0;212.8;;;;;;;;;;;;;;0.32459486;-0.59956664;0.041077916;;;;;127.6
277.0;212.8;;;;;;;;;;;;;;;;;-6.96585;-18.177588;-6.9963684;;127.6
277.0;212.8;;;;;;;;;;;;;;0.42133853;-0.6353343;0.09503464;;;;;127.6
277.0;212.8;;;;;;;;;;;;;;;;;-67.63665;-84.85672;-58.74813;;137.2
277.0;212.8;;;;;;;;;;;;;;0.550737;-0.6391186;0.1380047;;;;;137.2
277.0;212.8;;;;;;;;;;;;;;;;;-122.974335;-124.988556;-118.02652;;137.2
277.0;212.8;;;;;;;;;;;;;;0.639729;-0.675985;0.15930662;;;;;137.2
341.0;213.6;;;;;;;;;;;;;;;;;-68.113495;-124.988556;-62.08991;;146.9
341.0;213.6;;;;;;;;;;;;;;0.74471265;-0.720481;0.16962187;;;;;146.9
341.0;213.6;;;;;;;;;;;;;;;;;-13.397626;-124.988556;8.293406;;146.9
341.0;213.6;;;;;;;;;;;;;;0.86733603;-0.76052123;0.16864528;;;;;146.9
341.0;213.6;;;;;;;;;;;;;;;;;-18.73455;-101.72582;24.697105;;156.5
341.0;213.6;;;;;;;;;;;;;;1.0491654;-0.7820673;0.17206335;;;;;156.5
341.0;213.6;;;;;;;;;;;;;;;;;-25.929289;-22.389141;48.45958;;156.5
341.0;213.6;;;;;;;;;;;;;;1.2581561;-0.7780999;0.18805505;;;;;156.5
341.0;213.6;;;;;;;;;;;;;;;;;-28.462324;-10.513627;43.988617;;166.1
341.0;213.6;;;;;;;;;;;;;;1.451094;-0.7660146;0.20801416;;;;;166.1
341.0;213.6;;;;;;;;;;;;;;;;;-33.623768;-5.1004057;35.309914;;166.1
341.0;213.6;;;;;;;;;;;;;;1.6343882;-0.7388531;0.19971313;;;;;166.1
341.0;273.3;;;;;;;;;;;;;;;;;-41.711174;-2.2278512;24.246956;;175.7
341.0;273.3;;;;;;;;;;;;;;1.8154241;-0.6923429;0.1490524;;;;;175.7
341.0;273.3;;;;;;;;;;;;;;;;;-49.863426;-1.2359996;marras.47;;175.7
341.0;273.3;;;;;;;;;;;;;;1.9219337;-0.6656087;0.06378368;;;;;175.7
341.0;273.3;;;;;;;;;;;;;;;;;-52.88476;1.5869625;0.79729605;;185.4
341.0;273.3;;;;;;;;;;;;;;1.9556261;-0.6581622;0.012207404;;;;;185.4
341.0;273.3;;;;;;;;;;;;;;;;;-50.14191;7.126072;-9.4569235;;185.4
341.0;273.3;;;;;;;;;;;;;;1.8817713;-0.651326;-6.103702E-4;;;;;185.4
341.0;273.3;;;;;;;;;;;;;;;;;-45.018616;16.0947;-19.714956;;195.1
341.0;273.3;;;;;;;;;;;;;;1.7602466;-0.6392407;-0.010986663;;;;;195.1
341.0;273.3;;;;;;;;;;;;;;;;;-38.30073;28.420362;-28.675955;;195.1
341.0;273.3;;;;;;;;;;;;;;1.5849483;-0.6189764;0.012024293;;;;;195.1
404.0;274.5;;;;;;;;;;;;;;;;;-32.502213;40.437023;-36.03473;;204.6
404.0;274.5;;;;;;;;;;;;;;1.4061708;-0.6054872;0.058717612;;;;;204.6
404.0;274.5;;;;;;;;;;;;;;;;;-30.529953;50.092316;-41.444138;;204.6
404.0;274.5;;;;;;;;;;;;;;1.2494278;-0.611774;0.11346782;;;;;204.6
404.0;274.5;;;;;;;;;;;;;;;;;-30.49562;57.21839;-44.160286;;214.3
404.0;274.5;;;;;;;;;;;;;;1.0905484;-0.6239204;0.15875728;;;;;214.3
404.0;274.5;;;;;;;;;;;;;;;;;-30.522324;61.067535;-44.942318;;214.3
404.0;274.5;;;;;;;;;;;;;;0.93398845;-0.6465041;0.17529832;;;;;214.3
404.0;274.5;;;;;;;;;;;;;;;;;-29.90814;61.067535;-44.04584;;223.9
