patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
302.0;212.8;;;;;;;;;;;;;;;;;;;;17;0.1
302.0;212.8;;;;;;;;;;;;;;;;;13.824884;0.49211097;1.4152958;;127.8
302.0;212.8;;;;;;;;;;;;;;0.8366344;0.07843257;-0.39893797;;;;;127.8
302.0;212.8;;;;;;;;;;;;;;;;;-6.221961;-17.349771;-6.0121465;;127.8
302.0;212.8;;;;;;;;;;;;;;0.8791162;0.079897456;-0.40620136;;;;;127.8
302.0;212.8;;;;;;;;;;;;;;;;;-65.59191;-84.66979;-61.86865;;137.5
302.0;212.8;;;;;;;;;;;;;;0.87673575;0.078676715;-0.39857173;;;;;137.5
302.0;212.8;;;;;;;;;;;;;;;;;-122.524185;-124.988556;-120.239105;;137.5
302.0;212.8;;;;;;;;;;;;;;0.8748436;0.075441755;-0.3881344;;;;;137.5
363.0;213.6;;;;;;;;;;;;;;;;;-61.41087;-124.77874;-76.74261;;147.2
363.0;213.6;;;;;;;;;;;;;;0.88302255;0.07641835;-0.3749504;;;;;147.2
363.0;213.6;;;;;;;;;;;;;;;;;1.0719626;-124.71389;-28.187658;;147.2
363.0;213.6;;;;;;;;;;;;;;0.8799097;0.08020265;-0.38044375;;;;;147.2
363.0;213.6;;;;;;;;;;;;;;;;;-4.4976654;-95.62975;-20.084993;;156.9
363.0;213.6;;;;;;;;;;;;;;0.880398;0.07916501;-0.3852046;;;;;156.9
363.0;213.6;;;;;;;;;;;;;;;;;-11.799219;-4.8677025;4.181036;;156.9
363.0;213.6;;;;;;;;;;;;;;0.8796655;0.084353164;-0.3884396;;;;;156.9
363.0;213.6;;;;;;;;;;;;;;;;;-12.092959;2.6322215;5.7565536;;166.5
363.0;213.6;;;;;;;;;;;;;;0.88894314;0.089602344;-0.3947264;;;;;166.5
363.0;213.6;;;;;;;;;;;;;;;;;-11.87933;3.360851;5.279702;;166.5
363.0;213.6;;;;;;;;;;;;;;0.87759024;0.09186071;-0.3969848;;;;;166.5
363.0;280.4;;;;;;;;;;;;;;;;;-12.295145;3.3532214;5.394147;;176.2
363.0;280.4;;;;;;;;;;;;;;0.86538285;0.08856472;-0.40815455;;;;;176.2
363.0;280.4;;;;;;;;;;;;;;;;;-12.737662;2.3880734;5.371258;;176.2
363.0;280.4;;;;;;;;;;;;;;0.8510392;0.08404797;-0.42658773;;;;;176.2
363.0;280.4;;;;;;;;;;;;;;;;;-13.199256;1.5144811;5.386517;;185.8
363.0;280.4;;;;;;;;;;;;;;0.8670919;0.08209479;-0.43818477;;;;;185.8
363.0;280.4;;;;;;;;;;;;;;;;;-13.405255;2.0867033;5.3102207;;185.8
363.0;280.4;;;;;;;;;;;;;;0.86074406;0.077883236;-0.42976165;;;;;185.8
363.0;280.4;;;;;;;;;;;;;;;;;-13.756218;2.25074;5.0889616;;195.5
363.0;280.4;;;;;;;;;;;;;;0.87362283;0.067201756;-0.4213996;;;;;195.5
363.0;280.4;;;;;;;;;;;;;;;;;-13.752403;2.883999;4.989776;;195.5
363.0;280.4;;;;;;;;;;;;;;0.8775292;0.05633717;-0.42091128;;;;;195.5
423.0;281.2;;;;;;;;;;;;;;;;;-13.847774;3.6965547;4.951628;;205.1
423.0;281.2;;;;;;;;;;;;;;0.8600116;0.05566576;-0.4265267;;;;;205.1
423.0;281.2;;;;;;;;;;;;;;;;;-14.259773;3.5248878;4.669332;;205.1
423.0;281.2;;;;;;;;;;;;;;0.85872984;0.05121006;-0.4354381;;;;;205.1
423.0;281.2;;;;;;;;;;;;;;;;;-14.618366;3.7919247;4.161962;;214.8
423.0;281.2;;;;;;;;;;;;;;0.86880094;0.050965913;-0.42823574;;;;;214.8
423.0;281.2;;;;;;;;;;;;;;;;;-14.881589;4.352702;3.460036;;214.8
423.0;281.2;;;;;;;;;;;;;;0.8814356;0.0441908;-0.40467542;;;;;214.8
423.0;281.2;;;;;;;;;;;;;;;;;-14.477218;4.4442577;2.5444808;;224.4
423.0;281.2;;;;;;;;;;;;;;0.8786279;0.04052858;-0.39924315;;;;;224.4
423.0;281.2;;;;;;;;;;;;;;;;;-13.363293;4.181036;1.5564439;;224.4
423.0;281.2;;;;;;;;;;;;;;0.8775292;0.043092135;-0.41145054;;;;;224.4
423.0;341.6;;;;;;;;;;;;;;;;;-11.612293;4.7036653;0.51118505;;234.1
423.0;341.6;;;;;;;;;;;;;;0.8745384;0.044312876;-0.40821558;;;;;234.1
423.0;341.6;;;;;;;;;;;;;;;;;-9.701072;5.409406;-0.65614796;;234.1
