patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
261.0;212.6;;;;;;;;;;;;;;;;;;;;17;0.1
261.0;212.6;;;;;;;;;;;;;;;;;13.393811;0.44251838;1.3542589;;127.5
261.0;212.6;;;;;;;;;;;;;;-0.89059114;-0.23102511;-0.28418836;;;;;127.5
261.0;212.6;;;;;;;;;;;;;;;;;-5.9282207;-17.429884;-6.45085;;127.5
261.0;212.6;;;;;;;;;;;;;;-0.9173254;-0.2351146;-0.29041412;;;;;127.5
261.0;212.6;;;;;;;;;;;;;;;;;-65.324875;-84.2349;-61.52913;;137.1
261.0;212.6;;;;;;;;;;;;;;-0.91598254;-0.23316142;-0.28681296;;;;;137.1
261.0;212.6;;;;;;;;;;;;;;;;;-122.50893;-124.988556;-120.056;;137.1
261.0;212.6;;;;;;;;;;;;;;-0.9202551;-0.2285226;-0.2807703;;;;;137.1
321.0;213.4;;;;;;;;;;;;;;;;;-63.531906;-124.77874;-77.5132;;146.8
321.0;213.4;;;;;;;;;;;;;;-0.9238563;-0.22840053;-0.27497178;;;;;146.8
321.0;213.4;;;;;;;;;;;;;;;;;-3.8262582;-124.8207;-29.446547;;146.8
321.0;213.4;;;;;;;;;;;;;;-0.92519915;-0.23224586;-0.2692343;;;;;146.8
321.0;213.4;;;;;;;;;;;;;;;;;-9.792626;-96.327866;-20.79455;;156.4
321.0;213.4;;;;;;;;;;;;;;-0.9287393;-0.2362743;-0.2644734;;;;;156.4
321.0;213.4;;;;;;;;;;;;;;;;;-16.945402;-6.088443;4.272591;;156.4
321.0;213.4;;;;;;;;;;;;;;-0.93276775;-0.24066897;-0.2642903;;;;;156.4
321.0;213.4;;;;;;;;;;;;;;;;;-17.05603;1.5717032;6.4355907;;166.0
321.0;213.4;;;;;;;;;;;;;;-0.93905455;-0.24378185;-0.26978362;;;;;166.0
321.0;213.4;;;;;;;;;;;;;;;;;-16.258736;1.3008515;6.3974423;;166.0
321.0;213.4;;;;;;;;;;;;;;-0.9465011;-0.24457534;-0.26996672;;;;;166.0
