patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
stairsdown;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
255.0;217.5;;;;;;;;;;;;;;;;;;;;17;0.1
255.0;217.5;;;;;;;;;;;;;;;;;13.363293;1.9379253;0.839259;;127.5
255.0;217.5;;;;;;;;;;;;;;0.8697775;-0.050355542;-0.23505355;;;;;127.5
255.0;217.5;;;;;;;;;;;;;;;;;-7.396924;-16.727959;-7.3320723;;127.5
255.0;217.5;;;;;;;;;;;;;;0.9057894;-0.04651021;-0.2369457;;;;;127.5
255.0;217.5;;;;;;;;;;;;;;;;;-66.52272;-84.83764;-58.68328;;137.2
255.0;217.5;;;;;;;;;;;;;;0.91256446;-0.044801172;-0.23169653;;;;;137.2
255.0;217.5;;;;;;;;;;;;;;;;;-122.68059;-124.988556;-118.11808;;137.2
255.0;217.5;;;;;;;;;;;;;;0.9304483;-0.050355542;-0.21082187;;;;;137.2
316.0;218.3;;;;;;;;;;;;;;;;;-67.346725;-124.767296;-63.75698;;146.9
316.0;218.3;;;;;;;;;;;;;;0.9312418;-0.064638205;-0.15540025;;;;;146.9
316.0;218.3;;;;;;;;;;;;;;;;;-17.864773;-124.17982;4.1848507;;146.9
316.0;218.3;;;;;;;;;;;;;;0.9305093;-0.08252205;-0.040711693;;;;;146.9
316.0;218.3;;;;;;;;;;;;;;;;;-35.19547;-93.829155;20.283363;;156.6
316.0;218.3;;;;;;;;;;;;;;0.93630785;-0.11249123;0.06946013;;;;;156.6
316.0;218.3;;;;;;;;;;;;;;;;;-46.19739;-7.816553;46.246986;;156.6
316.0;218.3;;;;;;;;;;;;;;0.9290445;-0.118533894;0.003906369;;;;;156.6
316.0;218.3;;;;;;;;;;;;;;;;;-42.085026;-7.7898498;46.63991;;166.3
316.0;218.3;;;;;;;;;;;;;;0.969573;-0.15112767;-0.123111665;;;;;166.3
316.0;218.3;;;;;;;;;;;;;;;;;-36.206398;-9.4569235;45.899837;;166.3
316.0;218.3;;;;;;;;;;;;;;1.0082705;-0.18512528;-0.2026429;;;;;166.3
316.0;293.2;;;;;;;;;;;;;;;;;-33.833584;-6.591998;45.888393;;175.9
316.0;293.2;;;;;;;;;;;;;;1.0120548;-0.22083193;-0.22229682;;;;;175.9
316.0;293.2;;;;;;;;;;;;;;;;;-33.173622;-4.5968504;45.594654;;175.9
316.0;293.2;;;;;;;;;;;;;;0.9937437;-0.24347667;-0.2200995;;;;;175.9
316.0;293.2;;;;;;;;;;;;;;;;;-32.551807;-5.184332;45.728172;;185.6
316.0;293.2;;;;;;;;;;;;;;0.97738576;-0.23914304;-0.23102511;;;;;185.6
316.0;293.2;;;;;;;;;;;;;;;;;-32.597584;-5.878628;46.39958;;185.6
316.0;293.2;;;;;;;;;;;;;;0.9613941;-0.25263223;-0.23651844;;;;;185.6
316.0;293.2;;;;;;;;;;;;;;;;;-31.9071;-6.488998;46.380505;;195.3
316.0;293.2;;;;;;;;;;;;;;0.9469283;-0.25342572;-0.23566394;;;;;195.3
316.0;293.2;;;;;;;;;;;;;;;;;-30.442213;-7.0078125;46.72384;;195.3
316.0;293.2;;;;;;;;;;;;;;0.9229408;-0.24146245;-0.23004852;;;;;195.3
378.0;293.9;;;;;;;;;;;;;;;;;-27.985474;-9.140294;46.727654;;205.0
378.0;293.9;;;;;;;;;;;;;;0.9136021;-0.21881771;-0.24622333;;;;;205.0
378.0;293.9;;;;;;;;;;;;;;;;;-24.235512;-10.55559;45.97995;;205.0
378.0;293.9;;;;;;;;;;;;;;0.90377516;-0.1981872;-0.24628437;;;;;205.0
378.0;293.9;;;;;;;;;;;;;;;;;-19.428846;-10.837886;45.13306;;214.6
378.0;293.9;;;;;;;;;;;;;;0.8885159;-0.1944029;-0.22113712;;;;;214.6
378.0;293.9;;;;;;;;;;;;;;;;;-14.13007;-11.814478;43.939026;;214.6
378.0;293.9;;;;;;;;;;;;;;0.87801754;-0.1904355;-0.20038453;;;;;214.6
378.0;293.9;;;;;;;;;;;;;;;;;-9.483627;-12.142552;41.711174;;224.3
378.0;293.9;;;;;;;;;;;;;;0.8550676;-0.1726127;-0.17413862;;;;;224.3
378.0;293.9;;;;;;;;;;;;;;;;;-6.199072;-13.451034;39.433727;;224.3
378.0;293.9;;;;;;;;;;;;;;0.8534196;-0.156621;-0.17645802;;;;;224.3
378.0;353.5;;;;;;;;;;;;;;;;;-2.8992584;-14.736626;36.5421;;233.9
378.0;353.5;;;;;;;;;;;;;;0.85421306;-0.12909329;-0.20606098;;;;;233.9
378.0;353.5;;;;;;;;;;;;;;;;;-0.5340739;-14.942626;33.63903;;233.9
378.0;353.5;;;;;;;;;;;;;;0.8659932;-0.097170934;-0.23987548;;;;;233.9
378.0;353.5;;;;;;;;;;;;;;;;;0.7057405;-13.794366;30.800806;;243.4
378.0;353.5;;;;;;;;;;;;;;0.89400923;-0.06482132;-0.2598346;;;;;243.4
378.0;353.5;;;;;;;;;;;;;;;;;0.35096285;-10.536515;28.118992;;243.4
378.0;353.5;;;;;;;;;;;;;;0.92410046;-0.03723258;-0.25141147;;;;;243.4
378.0;353.5;;;;;;;;;;;;;;;;;-1.1864071;-6.6682944;25.650806;;253.0
378.0;353.5;;;;;;;;;;;;;;0.95394754;-0.008911405;-0.22742394;;;;;253.0
378.0;353.5;;;;;;;;;;;;;;;;;-3.4180732;-3.299814;23.491623;;253.0
378.0;353.5;;;;;;;;;;;;;;0.98391676;0.022583697;-0.20056765;;;;;253.0
439.0;354.6;;;;;;;;;;;;;;;;;-6.260109;-1.2207403;21.546068;;262.6
439.0;354.6;;;;;;;;;;;;;;1.0212713;0.054994356;-0.18744469;;;;;262.6
439.0;354.6;;;;;;;;;;;;;;;;;-9.315775;0.84307384;20.218512;;262.6
439.0;354.6;;;;;;;;;;;;;;1.0526444;0.084902495;-0.16846217;;;;;262.6
439.0;354.6;;;;;;;;;;;;;;;;;-11.223182;2.0828884;19.753105;;272.2
439.0;354.6;;;;;;;;;;;;;;1.0762048;0.08819849;-0.14661092;;;;;272.2
439.0;354.6;;;;;;;;;;;;;;;;;-12.798699;1.3161107;19.386885;;272.2
439.0;354.6;;;;;;;;;;;;;;1.0956755;0.08948027;-0.16235848;;;;;272.2
439.0;354.6;;;;;;;;;;;;;;;;;-15.049439;0.67903686;19.623402;;281.9
439.0;354.6;;;;;;;;;;;;;;1.1091647;0.08270516;-0.19269387;;;;;281.9
439.0;354.6;;;;;;;;;;;;;;;;;-18.162329;0.43107393;20.546587;;281.9
439.0;354.6;;;;;;;;;;;;;;1.1116673;0.061525315;-0.2191229;;;;;281.9
439.0;413.6;;;;;;;;;;;;;;;;;-21.408735;-0.022888882;21.870327;;291.5
439.0;413.6;;;;;;;;;;;;;;1.1069673;0.041627247;-0.24359874;;;;;291.5
439.0;413.6;;;;;;;;;;;;;;;;;-24.784843;-0.22888882;23.384808;;291.5
439.0;413.6;;;;;;;;;;;;;;1.1019623;0.021423994;-0.2603229;;;;;291.5
439.0;413.6;;;;;;;;;;;;;;;;;-28.229622;0.053407393;24.639883;;301.1
439.0;413.6;;;;;;;;;;;;;;1.0851772;0.017151402;-0.27405623;;;;;301.1
439.0;413.6;;;;;;;;;;;;;;;;;-31.109806;0.25559253;26.08951;;301.1
439.0;413.6;;;;;;;;;;;;;;1.0615559;0.013367107;-0.2870571;;;;;301.1
439.0;413.6;;;;;;;;;;;;;;;;;-33.40251;-0.39674062;26.993622;;310.7
439.0;413.6;;;;;;;;;;;;;;1.0396435;0.019714957;-0.30774865;;;;;310.7
439.0;413.6;;;;;;;;;;;;;;;;;-35.222176;-1.5564439;27.249214;;310.7
439.0;413.6;;;;;;;;;;;;;;1.0148015;0.030396435;-0.33960998;;;;;310.7
500.0;414.4;;;;;;;;;;;;;;;;;-37.827694;-3.0480363;26.81814;;320.3
500.0;414.4;;;;;;;;;;;;;;1.002472;0.050721765;-0.38209173;;;;;320.3
