patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
310.0;213.8;;;;;;;;;;;;;;;;;;;;17;0.1
310.0;213.8;;;;;;;;;;;;;;;;;13.485367;0.6065554;0.04196295;;127.4
310.0;213.8;;;;;;;;;;;;;;0.1015656;0.93313396;-0.2169866;;;;;127.4
310.0;213.8;;;;;;;;;;;;;;;;;-5.584887;-16.937773;-7.27485;;127.4
310.0;213.8;;;;;;;;;;;;;;0.10522782;0.9637745;-0.23340556;;;;;127.4
310.0;213.8;;;;;;;;;;;;;;;;;-63.890503;-84.90631;-60.930202;;137.0
310.0;213.8;;;;;;;;;;;;;;0.1053499;0.9615772;-0.24323252;;;;;137.0
310.0;213.8;;;;;;;;;;;;;;;;;-122.24952;-124.988556;-119.68978;;137.0
310.0;213.8;;;;;;;;;;;;;;0.10467849;0.95669425;-0.25281534;;;;;137.0
372.0;215.0;;;;;;;;;;;;;;;;;-59.907833;-124.988556;-75.83469;;146.7
372.0;215.0;;;;;;;;;;;;;;0.107852414;0.95126194;-0.2583697;;;;;146.7
372.0;215.0;;;;;;;;;;;;;;;;;4.1848507;-124.988556;-25.276955;;146.7
372.0;215.0;;;;;;;;;;;;;;0.10895108;0.94106877;-0.2595294;;;;;146.7
372.0;215.0;;;;;;;;;;;;;;;;;-0.40818506;-105.075226;-15.957365;;156.4
372.0;215.0;;;;;;;;;;;;;;0.10968352;0.9355144;-0.26056704;;;;;156.4
372.0;215.0;;;;;;;;;;;;;;;;;-7.4198127;-37.83151;8.983886;;156.4
372.0;215.0;;;;;;;;;;;;;;0.11090426;0.93148595;-0.26319164;;;;;156.4
372.0;215.0;;;;;;;;;;;;;;;;;-7.854701;-32.235176;10.4831085;;166.0
372.0;215.0;;;;;;;;;;;;;;0.111880854;0.9301431;-0.2642903;;;;;166.0
372.0;215.0;;;;;;;;;;;;;;;;;-7.587664;-32.208473;10.082552;;166.0
372.0;215.0;;;;;;;;;;;;;;0.1114536;0.9292886;-0.26648763;;;;;166.0
372.0;274.2;;;;;;;;;;;;;;;;;-7.1985536;-32.132175;10.074923;;175.6
372.0;274.2;;;;;;;;;;;;;;0.11279641;0.9292886;-0.27460554;;;;;175.6
372.0;274.2;;;;;;;;;;;;;;;;;-6.4851832;-32.03299;9.529405;;175.6
372.0;274.2;;;;;;;;;;;;;;0.114200264;0.9303262;-0.28205207;;;;;175.6
372.0;274.2;;;;;;;;;;;;;;;;;-5.84048;-32.12073;9.250923;;185.3
372.0;274.2;;;;;;;;;;;;;;0.11725211;0.9327067;-0.28748435;;;;;185.3
372.0;274.2;;;;;;;;;;;;;;;;;-5.2911468;-32.12836;9.075441;;185.3
372.0;274.2;;;;;;;;;;;;;;0.116763815;0.93398845;-0.28827783;;;;;185.3
372.0;274.2;;;;;;;;;;;;;;;;;-4.7837768;-32.177956;8.552812;;194.8
372.0;274.2;;;;;;;;;;;;;;0.11981567;0.93649095;-0.2920011;;;;;194.8
372.0;274.2;;;;;;;;;;;;;;;;;-4.2458873;-32.07114;8.140813;;194.8
372.0;274.2;;;;;;;;;;;;;;0.124332406;0.94174016;-0.29328287;;;;;194.8
453.0;275.0;;;;;;;;;;;;;;;;;-3.711814;-31.712547;7.9577017;;204.5
453.0;275.0;;;;;;;;;;;;;;0.12988678;0.94802696;-0.2920011;;;;;204.5
453.0;275.0;;;;;;;;;;;;;;;;;-3.3646657;-31.376842;7.587664;;204.5
453.0;275.0;;;;;;;;;;;;;;0.13727225;0.9515061;-0.29114658;;;;;204.5
453.0;275.0;;;;;;;;;;;;;;;;;-3.3417768;-30.796991;7.3587756;;214.1
453.0;275.0;;;;;;;;;;;;;;0.1445967;0.9553514;-0.28833887;;;;;214.1
