patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
267.0;218.9;;;;;;;;;;;;;;;;;;;;17;0.1
267.0;218.9;;;;;;;;;;;;;;;;;13.290812;0.94225895;1.659444;;127.5
267.0;218.9;;;;;;;;;;;;;;0.34601885;-0.374279;-0.1782281;;;;;127.5
267.0;218.9;;;;;;;;;;;;;;;;;-4.81048;-17.429884;-7.141331;;127.5
267.0;218.9;;;;;;;;;;;;;;0.37092197;-0.36628315;-0.18951994;;;;;127.5
267.0;218.9;;;;;;;;;;;;;;;;;-66.68676;-85.11613;-63.219093;;137.1
267.0;218.9;;;;;;;;;;;;;;0.2957854;-0.35139012;-0.21759698;;;;;137.1
267.0;218.9;;;;;;;;;;;;;;;;;-122.71874;-124.988556;-120.788445;;137.1
267.0;218.9;;;;;;;;;;;;;;0.30878627;-0.34034243;-0.22205268;;;;;137.1
333.0;219.7;;;;;;;;;;;;;;;;;-61.69698;-124.988556;-80.79394;;146.7
333.0;219.7;;;;;;;;;;;;;;0.2725303;-0.3162328;-0.20899075;;;;;146.7
333.0;219.7;;;;;;;;;;;;;;;;;3.765221;-124.988556;-36.267433;;146.7
333.0;219.7;;;;;;;;;;;;;;0.2450026;-0.35065767;-0.18829921;;;;;146.7
333.0;219.7;;;;;;;;;;;;;;;;;8.831293;-104.98749;-26.646475;;156.4
333.0;219.7;;;;;;;;;;;;;;0.23975341;-0.3267922;-0.22229682;;;;;156.4
333.0;219.7;;;;;;;;;;;;;;;;;13.420515;-41.69973;1.5945921;;156.4
333.0;219.7;;;;;;;;;;;;;;0.22638631;-0.32966095;-0.28131962;;;;;156.4
333.0;219.7;;;;;;;;;;;;;;;;;20.878475;-44.160286;7.2824793;;166.1
333.0;219.7;;;;;;;;;;;;;;0.20490128;-0.30378124;-0.2821131;;;;;166.1
333.0;219.7;;;;;;;;;;;;;;;;;26.635029;-54.87228;11.280404;;166.1
333.0;219.7;;;;;;;;;;;;;;0.2174749;-0.28254035;-0.36475724;;;;;166.1
333.0;279.0;;;;;;;;;;;;;;;;;27.241585;-65.24476;16.289255;;175.8
333.0;279.0;;;;;;;;;;;;;;0.26258126;-0.25086215;-0.39808345;;;;;175.8
333.0;279.0;;;;;;;;;;;;;;;;;28.725548;-70.7152;21.19892;;175.8
333.0;279.0;;;;;;;;;;;;;;0.29944763;-0.21900083;-0.4189581;;;;;175.8
333.0;279.0;;;;;;;;;;;;;;;;;26.696066;-74.514755;25.559252;;185.2
333.0;279.0;;;;;;;;;;;;;;0.35822627;-0.17371136;-0.43403423;;;;;185.2
333.0;279.0;;;;;;;;;;;;;;;;;24.933622;-76.593834;30.041656;;185.2
333.0;279.0;;;;;;;;;;;;;;0.40302745;-0.13275552;-0.45710623;;;;;185.2
333.0;279.0;;;;;;;;;;;;;;;;;23.739586;-74.385056;34.382915;;194.7
333.0;279.0;;;;;;;;;;;;;;0.47578356;-0.087466046;-0.45118564;;;;;194.7
333.0;279.0;;;;;;;;;;;;;;;;;21.256142;-70.59694;38.964508;;194.7
333.0;279.0;;;;;;;;;;;;;;0.5681936;-0.05084384;-0.49409467;;;;;194.7
391.0;279.8;;;;;;;;;;;;;;;;;20.649586;-64.41313;43.27525;;204.4
391.0;279.8;;;;;;;;;;;;;;0.6382641;0.0010986663;-0.4985504;;;;;204.4
391.0;279.8;;;;;;;;;;;;;;;;;20.29481;-58.67565;47.3838;;204.4
391.0;279.8;;;;;;;;;;;;;;0.6950896;0.04937895;-0.48451185;;;;;204.4
391.0;279.8;;;;;;;;;;;;;;;;;18.04407;-55.77639;52.255318;;214.0
391.0;279.8;;;;;;;;;;;;;;0.7621082;0.06848354;-0.53334147;;;;;214.0
391.0;279.8;;;;;;;;;;;;;;;;;15.034181;-51.59917;57.279427;;214.0
391.0;279.8;;;;;;;;;;;;;;0.8274789;0.07446516;-0.56392103;;;;;214.0
391.0;279.8;;;;;;;;;;;;;;;;;11.307108;-47.254097;63.032166;;223.7
391.0;279.8;;;;;;;;;;;;;;0.81148714;0.077333905;-0.616657;;;;;223.7
391.0;279.8;;;;;;;;;;;;;;;;;4.4366283;-40.5858;68.75439;;223.7
391.0;279.8;;;;;;;;;;;;;;0.8348643;0.057679985;-0.6306955;;;;;223.7
391.0;339.6;;;;;;;;;;;;;;;;;-4.1924806;-33.48262;74.96109;;233.3
391.0;339.6;;;;;;;;;;;;;;0.82760096;0.015381329;-0.6201972;;;;;233.3
391.0;339.6;;;;;;;;;;;;;;;;;-13.000885;-23.846401;81.568344;;233.3
391.0;339.6;;;;;;;;;;;;;;0.80489516;-0.0037842952;-0.5410932;;;;;233.3
391.0;339.6;;;;;;;;;;;;;;;;;-26.581623;-12.016664;88.37398;;243.0
391.0;339.6;;;;;;;;;;;;;;0.8086184;-0.058107242;-0.42323068;;;;;243.0
391.0;339.6;;;;;;;;;;;;;;;;;-39.227726;0.5836665;95.60305;;243.0
391.0;339.6;;;;;;;;;;;;;;0.7823115;-0.11713004;-0.29786065;;;;;243.0
391.0;339.6;;;;;;;;;;;;;;;;;-51.175724;10.860775;103.0343;;252.7
391.0;339.6;;;;;;;;;;;;;;0.7513657;-0.16663106;-0.20441298;;;;;252.7
391.0;339.6;;;;;;;;;;;;;;;;;-65.14939;24.033327;110.96148;;252.7
391.0;339.6;;;;;;;;;;;;;;0.6898404;-0.2395703;-0.15448469;;;;;252.7
452.0;340.4;;;;;;;;;;;;;;;;;-77.101204;36.00421;118.61782;;262.2
452.0;340.4;;;;;;;;;;;;;;0.62233347;-0.32123783;-0.097598195;;;;;262.2
452.0;340.4;;;;;;;;;;;;;;;;;-88.05735;42.291023;123.77926;;262.2
