patientId;holterMac;flexMac;;;;;;;;;;;;;;;;;;;;
stairsup;CA:F3:0B:1E:33:78;D3:4A:5C:52:80:78;;;;;;;;;;;;;;;;;;;;
receivedTimeStamp;timeStamp;red;ir;green;adxl_accX;adxl_accY;adxl_accZ;lsm_accelX;lsm_accelY;lsm_accelZ;lsm_gyroX;lsm_gyroY;lsm_gyroZ;ecg;flex_lsm_accelX;flex_lsm_accelY;flex_lsm_accelZ;flex_lsm_gyroX;flex_lsm_gyroY;flex_lsm_gyroZ;flex_cmd;flexTimeStamp
266.0;215.5;;;;;;;;;;;;;;;;;;;;17;0.1
266.0;215.5;;;;;;;;;;;;;;;;;13.336589;0.20599994;1.678518;;127.4
266.0;215.5;;;;;;;;;;;;;;0.9074984;-0.23395489;-0.14935759;;;;;127.4
266.0;215.5;;;;;;;;;;;;;;;;;-6.023591;-17.494736;-5.5543685;;127.4
266.0;215.5;;;;;;;;;;;;;;0.9427168;-0.23963134;-0.15381329;;;;;127.4
266.0;215.5;;;;;;;;;;;;;;;;;-64.5848;-84.761345;-61.84576;;136.9
266.0;215.5;;;;;;;;;;;;;;0.94247264;-0.23773919;-0.15204321;;;;;136.9
266.0;215.5;;;;;;;;;;;;;;;;;-122.37922;-124.988556;-120.2124;;136.9
266.0;215.5;;;;;;;;;;;;;;0.9424116;-0.23596911;-0.15179907;;;;;136.9
328.0;222.9;;;;;;;;;;;;;;;;;-58.149204;-124.77874;-78.32575;;146.6
328.0;222.9;;;;;;;;;;;;;;0.94357127;-0.23352763;-0.15149388;;;;;146.6
328.0;222.9;;;;;;;;;;;;;;;;;8.880886;-124.832146;-32.170326;;146.6
328.0;222.9;;;;;;;;;;;;;;0.9433271;-0.23383282;-0.1525315;;;;;146.6
328.0;222.9;;;;;;;;;;;;;;;;;5.1919613;-96.79327;-25.0824;;156.3
328.0;222.9;;;;;;;;;;;;;;0.9443648;-0.23407696;-0.1521653;;;;;156.3
328.0;222.9;;;;;;;;;;;;;;;;;-1.495407;-7.213813;-1.2054812;;156.3
328.0;222.9;;;;;;;;;;;;;;0.9457686;-0.23639637;-0.15363018;;;;;156.3
328.0;222.9;;;;;;;;;;;;;;;;;-1.7509995;0.29755548;0.4730369;;165.9
328.0;222.9;;;;;;;;;;;;;;0.94619584;-0.23908201;-0.15472884;;;;;165.9
328.0;222.9;;;;;;;;;;;;;;;;;-1.1215552;0.40437025;0.14496292;;165.9
328.0;222.9;;;;;;;;;;;;;;0.94601274;-0.24164556;-0.15930662;;;;;165.9
328.0;275.8;;;;;;;;;;;;;;;;;-0.46159247;0.39674062;0.34333324;;175.6
328.0;275.8;;;;;;;;;;;;;;0.94369334;-0.24390393;-0.16260262;;;;;175.6
328.0;275.8;;;;;;;;;;;;;;;;;0.06103702;0.17929624;0.049592577;;175.6
328.0;275.8;;;;;;;;;;;;;;0.94265574;-0.24622333;-0.16083254;;;;;175.6
328.0;275.8;;;;;;;;;;;;;;;;;0.15259254;0.064851835;-0.053407393;;185.2
328.0;275.8;;;;;;;;;;;;;;0.94283885;-0.24591815;-0.15851314;;;;;185.2
328.0;275.8;;;;;;;;;;;;;;;;;-0.1411481;0.25559253;0.11825922;;185.2
328.0;275.8;;;;;;;;;;;;;;0.9432661;-0.24610126;-0.1521653;;;;;185.2
328.0;275.8;;;;;;;;;;;;;;;;;-0.37766656;0.42725915;-0.0076296274;;194.8
328.0;275.8;;;;;;;;;;;;;;0.9439375;-0.24787134;-0.14831996;;;;;194.8
328.0;275.8;;;;;;;;;;;;;;;;;-0.6027406;0.5340739;0.011444441;;194.8
328.0;275.8;;;;;;;;;;;;;;0.94466996;-0.24689475;-0.14581744;;;;;194.8
391.0;283.3;;;;;;;;;;;;;;;;;-0.7019257;0.6065554;0.068666644;;204.5
391.0;283.3;;;;;;;;;;;;;;0.94320506;-0.24646749;-0.14545122;;;;;204.5
391.0;283.3;;;;;;;;;;;;;;;;;-0.62944424;0.48448133;-0.038148135;;204.5
391.0;283.3;;;;;;;;;;;;;;0.9413129;-0.2461623;-0.14618365;;;;;204.5
391.0;283.3;;;;;;;;;;;;;;;;;-0.39674062;0.34714803;-0.011444441;;214.2
391.0;283.3;;;;;;;;;;;;;;0.9428999;-0.2446974;-0.14801477;;;;;214.2
391.0;283.3;;;;;;;;;;;;;;;;;-0.1678518;0.24414808;0.049592577;;214.2
391.0;283.3;;;;;;;;;;;;;;0.9421674;-0.24414808;-0.14886929;;;;;214.2
391.0;283.3;;;;;;;;;;;;;;;;;0.03051851;0.17929624;-0.045777764;;223.8
391.0;283.3;;;;;;;;;;;;;;0.9427778;-0.24207282;-0.15204321;;;;;223.8
391.0;283.3;;;;;;;;;;;;;;;;;0.28611103;0.18692587;0.022888882;;223.8
391.0;283.3;;;;;;;;;;;;;;0.9436323;-0.24231696;-0.14972381;;;;;223.8
391.0;343.6;;;;;;;;;;;;;;;;;0.54933316;0.23270364;0.019074067;;233.4
391.0;343.6;;;;;;;;;;;;;;0.94387645;-0.24207282;-0.15033418;;;;;233.4
391.0;343.6;;;;;;;;;;;;;;;;;0.8659627;0.23270364;-0.038148135;;233.4
391.0;343.6;;;;;;;;;;;;;;0.94405955;-0.24127933;-0.15375225;;;;;233.4
391.0;343.6;;;;;;;;;;;;;;;;;1.1329997;0.18311106;0.011444441;;243.1
391.0;343.6;;;;;;;;;;;;;;0.943083;-0.2414014;-0.15509507;;;;;243.1
391.0;343.6;;;;;;;;;;;;;;;;;1.0872219;0.12207404;-0.06103702;;243.1
391.0;343.6;;;;;;;;;;;;;;0.944731;-0.2418897;-0.15344706;;;;;243.1
391.0;343.6;;;;;;;;;;;;;;;;;0.8697775;0.20218512;-0.068666644;;252.7
391.0;343.6;;;;;;;;;;;;;;0.94357127;-0.24109623;-0.15277566;;;;;252.7
391.0;343.6;;;;;;;;;;;;;;;;;0.6027406;0.35859248;0.0038148137;;252.7
391.0;343.6;;;;;;;;;;;;;;0.9437544;-0.24085207;-0.15320292;;;;;252.7
509.0;344.4;;;;;;;;;;;;;;;;;0.49592578;0.42344433;0.03051851;;262.3
509.0;344.4;;;;;;;;;;;;;;0.9441816;-0.24134037;-0.1513718;;;;;262.3
509.0;344.4;;;;;;;;;;;;;;;;;0.27466658;0.3852962;-0.022888882;;262.3
509.0;344.4;;;;;;;;;;;;;;0.9412519;-0.24176763;-0.15161596;;;;;262.3
509.0;344.4;;;;;;;;;;;;;;;;;0.07248146;0.37385175;0.07629627;;272.0
509.0;344.4;;;;;;;;;;;;;;0.94155705;-0.2400586;-0.14880826;;;;;272.0
509.0;344.4;;;;;;;;;;;;;;;;;-0.022888882;0.39674062;0.0;;272.0
